logFC	logCPM	F	PValue	FDR
ENSG00000165244	-5.77001220658061	7.36414614975579	4171.72793564448	3.33916345383586e-18	3.25304445665288e-14
ENSG00000233237	-6.24668144615796	9.48568664064697	3950.78321665238	4.80870218991026e-18	3.25304445665288e-14
ENSG00000272141	-13.0495962391451	7.01729506616558	3831.47425139153	5.15864962996017e-18	3.25304445665288e-14
ENSG00000213212	5.13815940155728	8.55342660363436	3097.15982984399	2.46898981651016e-17	1.16770873371848e-13
ENSG00000205231	-17.5638194326105	8.82590404145543	6627.78315930254	3.13512688440193e-17	1.18620660798231e-13
ENSG00000188878	4.55708568471537	8.77949866654845	1784.23686635591	9.98243282290573e-16	3.14746106906218e-12
ENSG00000228544	4.53673676572213	8.21319103896467	1601.9902082877	2.05372229626205e-15	5.42960691308185e-12
ENSG00000273066	4.03588882943434	7.89323935917997	1575.50649403941	2.29605958899751e-15	5.42960691308185e-12
ENSG00000154265	-3.59597239821757	10.14011625816	1425.58526748466	4.48131906137349e-15	9.30090827614061e-12
ENSG00000229373	-8.32595153888944	3.79002813379181	656.70401778638	4.91643317271414e-15	9.30090827614061e-12
ENSG00000182759	-3.96594213194574	7.12570704702343	1276.44557789426	9.37925034060103e-15	1.613060526759e-11
ENSG00000253304	-8.99419254819518	4.11355095101244	628.524353578529	1.04377263309695e-14	1.64550755607733e-11
ENSG00000144857	2.82516493934398	6.49503469026711	982.442355891679	5.3759769865123e-14	7.82328712544921e-11
ENSG00000140575	2.02297323663587	7.61876871018105	812.479619989579	1.90142123705881e-13	2.56936335447705e-10
ENSG00000196767	2.97638515833227	5.03933714183073	790.803369100231	2.27672907931902e-13	2.87141071483715e-10
ENSG00000174807	2.88825512349318	5.79160424008118	768.207870991687	2.75869080524141e-13	3.26180704084731e-10
ENSG00000139364	-2.21766498586118	6.35043488419359	753.919964761864	3.12438079186202e-13	3.47688446002622e-10
ENSG00000213213	3.13047437381622	5.58664139132942	732.789352201341	3.77348604727418e-13	3.84021666754294e-10
ENSG00000267426	5.82975498332188	5.07301728827443	734.89247532664	3.85686207227592e-13	3.84021666754294e-10
ENSG00000204316	2.01480603804285	6.80612909398984	693.165005746744	5.45290490026877e-13	4.95980613741275e-10
ENSG00000196581	-7.06593938591172	3.04725844496252	409.353739733954	5.50565222992218e-13	4.95980613741275e-10
ENSG00000213853	2.01234349218933	6.66920828201878	676.234987025771	6.42333433656996e-13	5.52348358996502e-10
ENSG00000099994	2.15123619174635	8.90464907115066	655.381297230901	7.90309019230144e-13	6.50046348947646e-10
ENSG00000169439	1.66405002177764	7.17627801114882	645.71506409995	8.71962817082192e-13	6.87324690565038e-10
ENSG00000254377	1.60619787041831	8.07757615569638	640.406482320917	9.20901424787386e-13	6.96864526165111e-10
ENSG00000165646	2.51449624401116	5.66558717519182	626.989483216776	1.05946467063682e-12	7.70882793811823e-10
ENSG00000186868	-2.44065305183308	5.77953653736462	603.128432205999	1.36916175130125e-12	9.59326000411739e-10
ENSG00000100628	2.10177013655272	5.63185615173559	587.09618068732	1.63580190611045e-12	1.10521787356419e-09
ENSG00000136099	1.93804289611999	7.70266324311371	575.287435507451	1.87042241720782e-12	1.22016038926681e-09
ENSG00000185559	2.26154489442727	5.90446640656657	571.238585304778	1.95985828325036e-12	1.23588663341767e-09
ENSG00000165548	1.68736849790025	6.66754883434069	555.3732576099	2.35988044466881e-12	1.44013607265305e-09
ENSG00000116852	-2.26113430805583	6.53462473687296	539.949670912701	2.8415914784325e-12	1.67991336215581e-09
ENSG00000188613	1.81775129594911	6.62362904333238	518.548265815643	3.70899914461509e-12	2.1262680550857e-09
ENSG00000138435	1.88078491034927	8.02642640789748	510.185556699719	4.12793331533092e-12	2.24014037473654e-09
ENSG00000149527	1.74087210076663	6.92773477367704	508.255951680016	4.2322134350144e-12	2.24014037473654e-09
ENSG00000163975	2.4648630782347	4.77073720511746	507.728517554498	4.2628741669582e-12	2.24014037473654e-09
ENSG00000148841	1.53499218336152	6.88326757475273	501.392968300127	4.62829580329202e-12	2.36643513531564e-09
ENSG00000100034	1.39344682762435	7.12774874964341	499.298957480946	4.7574939113679e-12	2.36848078461205e-09
ENSG00000137076	1.72825425693278	7.37891451924075	496.093224851533	4.96341223436229e-12	2.40763673460681e-09
ENSG00000183878	4.80229665363166	3.56151851118492	498.487021574402	5.20707293138318e-12	2.46268514289768e-09
ENSG00000181965	-1.33081829342446	11.4511909788177	458.755090212324	8.30021296845848e-12	3.82983973017799e-09
ENSG00000154146	2.15548992163709	5.32852115491945	449.516184655432	9.48710692211091e-12	4.13302301367404e-09
ENSG00000181666	2.35971127112738	5.06639967640543	449.401045605304	9.50373246564547e-12	4.13302301367404e-09
ENSG00000135535	1.44081476584964	6.5589116593092	448.607675130198	9.61269756854096e-12	4.13302301367404e-09
ENSG00000177272	3.0602794564002	4.38857690504099	444.603566907924	1.02075819833077e-11	4.29126746578257e-09
ENSG00000178403	-1.29708199400497	11.3703669074951	438.543944876639	1.11549371615773e-11	4.58758915701565e-09
ENSG00000141449	-1.83959808766482	7.35321217446578	431.833289662088	1.23415492286344e-11	4.96760485760223e-09
ENSG00000101188	3.62532300584177	3.85958720516708	427.566931294057	1.32521743106466e-11	5.22301320018361e-09
ENSG00000156298	-1.82976777469381	5.3136978393157	423.312736687201	1.40644410762618e-11	5.43002237307594e-09
ENSG00000198300	-12.929173234743	4.20398066510472	663.525559982617	1.59492880011286e-11	6.03457260810701e-09
ENSG00000167861	-2.07392130947168	5.26627496149586	408.546991866566	1.77450896402526e-11	6.58238442773136e-09
ENSG00000100139	-1.29192201921168	7.51697090639018	400.027280924921	2.03650852985617e-11	7.27216115320225e-09
ENSG00000168824	-1.57818732477861	6.5577747266733	400.002823922626	2.03734295971942e-11	7.27216115320225e-09
ENSG00000106003	1.76311842292273	5.71316829627975	398.522881997026	2.08746982844909e-11	7.3131026323333e-09
ENSG00000172671	1.72239961066636	5.36430790666464	396.049907808396	2.17420841803428e-11	7.47848633679499e-09
ENSG00000123643	1.41494593830909	8.14982271068589	387.713773180598	2.49823275395395e-11	8.43956557844657e-09
ENSG00000102755	1.47513648567662	6.94090358623561	384.318399669664	2.6459830498692e-11	8.78187848025009e-09
ENSG00000164236	-1.59988001760853	6.07462120892255	379.026925757157	2.89684970338711e-11	9.44872460149609e-09
ENSG00000130600	-7.49197373241292	2.93149444452394	223.656464286249	3.18786021170326e-11	1.01695967970278e-08
ENSG00000198400	1.43004871247769	7.33656192027	372.83582530354	3.22537164510871e-11	1.01695967970278e-08
ENSG00000135862	1.29287653000589	7.37357644269855	371.538333823038	3.29956919365892e-11	1.02329918042032e-08
