id	mirna_name	organism	tested_cell_line	tissue	method	experiment_type	de_table_path
GSE112859	hsa-miR-574-5p	Homo sapiens	MGC-803	Gastric	RNA-seq	Overexpression	data/experiments/processed/GSE112859_OE_miR-574-5p_MGC-803.tsv
GSE115646	hsa-miR-101-3p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-101-3p_HepG2.tsv
GSE115646	hsa-miR-133a-3p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-133a-3p_HepG2.tsv
GSE115646	hsa-miR-140-3p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-140-3p_HepG2.tsv
GSE115646	hsa-miR-140-5p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-140-5p_HepG2.tsv
GSE115646	hsa-miR-18a-5p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-18a-5p_HepG2.tsv
GSE115646	hsa-miR-211-5p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE115646_OE_miR-211-5p_HepG2.tsv
GSE124411	hsa-miR-150-5p	Homo sapiens	LX-2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE124411_OE_miR-150-5p_LX-2.tsv
GSE129076	hsa-miR-450a-5p	Homo sapiens	A2780	Ovary	RNA-seq	Overexpression	data/experiments/processed/GSE129076_OE_miR-450a-5p_A2780.tsv
GSE129076	hsa-miR-450a-5p	Homo sapiens	SKOV-3	Ovary	RNA-seq	Overexpression	data/experiments/processed/GSE129076_OE_miR-450a-5p_SKOV-3.tsv
GSE148684	hsa-miR-21-5p	Homo sapiens	A549	Lung	RNA-seq	Knockout	data/experiments/processed/GSE148684_KO_miR-21-5p_A549.tsv
GSE148827	hsa-miR-1271-5p	Homo sapiens	SH-SY5Y	Bone Marrow	RNA-seq	Overexpression	data/experiments/processed/GSE148827_OE_miR-1271-5p_SH-SY5Y.tsv
GSE154968	hsa-miR-21-3p	Homo sapiens	HaCaT	Skin	RNA-seq	Overexpression	data/experiments/processed/GSE154968_OE_miR-21-3p_HaCaT.tsv
GSE168484	hsa-miR-20b-5p	Homo sapiens	HepG2	Liver	RNA-seq	Overexpression	data/experiments/processed/GSE168484_OE_miR-20b-5p_HepG2.tsv
GSE169128	hsa-miR-3662	Homo sapiens	MDA-MB-231	Breast	RNA-seq	Knockout	data/experiments/processed/GSE169128_KO_miR-3662_MDA-MB-231.tsv
GSE175729	hsa-miR-100-3p	Homo sapiens	Kelly	Peripheral nervous system	RNA-seq	Overexpression	data/experiments/processed/GSE175729_OE_miR-100-3p_Kelly.tsv
GSE175729	hsa-miR-1915-3p	Homo sapiens	Kelly	Peripheral nervous system	RNA-seq	Overexpression	data/experiments/processed/GSE175729_OE_miR-1915-3p_Kelly.tsv
GSE175729	hsa-miR-380-3p	Homo sapiens	Kelly	Peripheral nervous system	RNA-seq	Overexpression	data/experiments/processed/GSE175729_OE_miR-380-3p_Kelly.tsv
GSE175729	hsa-miR-485-3p	Homo sapiens	Kelly	Peripheral nervous system	RNA-seq	Overexpression	data/experiments/processed/GSE175729_OE_miR-485-3p_Kelly.tsv
GSE175729	hsa-miR-99b-5p	Homo sapiens	Kelly	Peripheral nervous system	RNA-seq	Overexpression	data/experiments/processed/GSE175729_OE_miR-99b-5p_Kelly.tsv
GSE179399	hsa-miR-3662	Homo sapiens	LNCaP clone FGC	Prostate	RNA-seq	Knockout	data/experiments/processed/GSE179399_KO_miR-3662_LNCaP.tsv
GSE199332	hsa-miR-27a-3p	Homo sapiens	HepG2	Liver	RNA-seq	Knockout	data/experiments/processed/GSE199332_KO_miR-27a-3p_HepG2.tsv
GSE202135	hsa-miR-130a-3p	Homo sapiens	Primary isolated cells	Bone Marrow	RNA-seq	Overexpression	data/experiments/processed/GSE202135_OE_miR-130a-3p_NA.tsv
GSE202135	hsa-miR-130b-3p	Homo sapiens	Primary isolated cells	Bone Marrow	RNA-seq	Overexpression	data/experiments/processed/GSE202135_OE_miR-130b-3p_NA.tsv
GSE210778	hsa-miR-375-3p	Homo sapiens	HUV-EC-C	Umbilical cord, Umbilical vein, Vascular endothelium	RNA-seq	Overexpression	data/experiments/processed/GSE210778_OE_miR-375-3p_HUV-EC-C.tsv
GSE259375	hsa-miR-100-5p	Homo sapiens	HCA7	Colon	RNA-seq	Knockout	data/experiments/processed/GSE259375_KO_miR-100-5p_HCA7.tsv
GSE259375	hsa-miR-125b-5p	Homo sapiens	HCA7	Colon	RNA-seq	Knockout	data/experiments/processed/GSE259375_KO_miR-125b-5p_HCA7.tsv
GSE51217	hsa-miR-200c-3p	Homo sapiens	SK-BR-3	Breast, Mammary gland	RNA-seq	Knockout	data/experiments/processed/GSE51217_KO_miR-200c-3p_SK-BR-3.tsv
GSE80064	hsa-miR-221-3p	Homo sapiens	SNU638	Gastric	RNA-seq	Knockout	data/experiments/processed/GSE80064_KO_miR-221-3p_SNU638.tsv
GSE80064	hsa-miR-222-3p	Homo sapiens	SNU638	Gastric	RNA-seq	Knockout	data/experiments/processed/GSE80064_KO_miR-222-3p_SNU638.tsv
