gene_id	transcript_id	utr3_mean_conservation	utr3_scored_bases	utr3_length
ENSG00000000003	ENST00000373020	0.13815421533956454	2918	2918
ENSG00000000005	ENST00000373031	0.687994047462347	168	168
ENSG00000000419	ENST00000858753	0.31807142896951907	280	280
ENSG00000000457	ENST00000367771	0.13765825579385058	4082	4082
ENSG00000000460	ENST00000937558	0.2591948160470613	2469	2469
ENSG00000000938	ENST00000374005	0.08269647059784106	850	850
ENSG00000000971	ENST00000695987	0.2415519348974482	491	491
ENSG00000001036	ENST00000966138	0.12016666682508005	1746	1746
ENSG00000001084	ENST00000509541	0.3478318024249813	1415	1415
ENSG00000001167	ENST00000341376	0.2509070700867103	4993	4993
ENSG00000001460	ENST00000869689	0.02868949946704488	2657	2657
ENSG00000001461	ENST00000003912	0.04828410604063557	7550	7550
ENSG00000001497	ENST00000676986	0.30518773510336444	799	799
ENSG00000001561	ENST00000859799	0.13464792422783883	3059	3059
ENSG00000001617	ENST00000002829	0.31729062510324485	960	960
ENSG00000001626	ENST00000689011	0.2225950001416495	2000	2000
ENSG00000001629	ENST00000927528	0.6482101892956597	3121	3121
ENSG00000001630	ENST00000003100	0.047859788538146486	1512	1512
ENSG00000001631	ENST00000394507	0.2869609513349808	1767	1767
ENSG00000002016	ENST00000928981	0.19654898858058034	2521	2521
ENSG00000002330	ENST00000853727	0.12455118136581894	381	381
ENSG00000002549	ENST00000955710	0.13237305674816535	386	386
ENSG00000002586	ENST00000611428	0.020518771281748782	586	586
ENSG00000002587	ENST00000002596	0.06468459207352094	5932	5932
ENSG00000002726	ENST00000360937	0.010037288292689975	295	295
ENSG00000002745	ENST00000222462	0.23633541751982812	1759	1759
ENSG00000002746	ENST00000395891	0.35658650321577406	4075	4075
ENSG00000002822	ENST00000853792	0.00762897525344689	283	283
ENSG00000002834	ENST00000946796	0.18407751435562228	2993	2993
ENSG00000002919	ENST00000359238	0.39062780770039335	2093	2093
ENSG00000002933	ENST00000475536	0.08239249070453117	293	293
ENSG00000003056	ENST00000936871	0.37456849343278953	1460	1460
ENSG00000003096	ENST00000881390	0.7082567327404837	1114	1114
ENSG00000003137	ENST00000001146	0.2772783541956645	2989	2989
ENSG00000003147	ENST00000944692	0.2951644208805317	742	742
ENSG00000003249	ENST00000002501	0.03948155747110449	1464	1464
ENSG00000003393	ENST00000680000	0.07668993938536563	2306	2306
ENSG00000003400	ENST00000286186	0.050860091845905335	3924	3924
ENSG00000003402	ENST00000309955	0.13479699544274273	12714	12714
ENSG00000003436	ENST00000897898	0.03825859304600079	3113	3113
ENSG00000003509	ENST00000885392	0.1493016098165294	3541	3541
ENSG00000003756	ENST00000469838	0.5543985848999824	2120	2120
ENSG00000003987	ENST00000180173	0.08800260771555897	3068	3068
ENSG00000003989	ENST00000470360	0.0987772250757411	5427	5427
ENSG00000004059	ENST00000000233	0.5672194519848969	401	401
ENSG00000004139	ENST00000585482	0.07071866547001357	7763	7763
ENSG00000004142	ENST00000954761	0.22521656384008196	1944	1944
ENSG00000004399	ENST00000891948	0.20915923590737534	1099	1099
ENSG00000004455	ENST00000672715	0.19716689145457827	5195	5195
ENSG00000004468	ENST00000226279	0.03553758109135244	4630	4630
ENSG00000004478	ENST00000001008	0.13683833748507626	2165	2165
ENSG00000004487	ENST00000688680	0.0781478975803752	2069	2069
ENSG00000004534	ENST00000266022	0.7673879308628063	116	116
ENSG00000004660	ENST00000348335	0.2517394517626484	1896	1896
ENSG00000004700	ENST00000444129	0.04035825554705428	1284	1284
ENSG00000004766	ENST00000305866	0.19669743230804498	2687	2687
ENSG00000004776	ENST00000004982	0.08014644361108397	956	956
ENSG00000004777	ENST00000007510	0.2136335876866886	393	393
ENSG00000004779	ENST00000570319	0.04616464888163984	413	413
ENSG00000004799	ENST00000886050	0.15694403018501157	2144	2144
ENSG00000004809	ENST00000451557	0.1679985052961661	669	669
ENSG00000004838	ENST00000231749	0.10480872418765828	298	298
ENSG00000004846	ENST00000404938	0.08172109818847774	1384	1384
ENSG00000004848	ENST00000379044	0.7369979513831987	976	976
ENSG00000004864	ENST00000856218	0.46661973268189444	973	973
ENSG00000004866	ENST00000465133	0.08376129672046996	1018	1018
ENSG00000004897	ENST00000066544	0.7041157183126722	3232	3232
ENSG00000004939	ENST00000262418	0.08572969053265309	2068	2068
ENSG00000004948	ENST00000426151	0.611685027279032	1870	1870
ENSG00000004961	ENST00000380762	0.06121551701596494	1276	1276
ENSG00000004975	ENST00000005340	0.49302676864267536	523	523
ENSG00000005001	ENST00000874725	0.14723561676123423	365	365
ENSG00000005007	ENST00000920693	0.35693958461530634	2069	2069
ENSG00000005020	ENST00000919136	0.2301021407414217	2663	2663
ENSG00000005022	ENST00000317881	0.5928313612883508	338	338
ENSG00000005059	ENST00000394650	0.04569121552304842	1127	1127
ENSG00000005073	ENST00000006015	0.49001525316368666	1639	1639
ENSG00000005075	ENST00000292614	0.023882917537409346	521	521
ENSG00000005100	ENST00000225296	0.04724665452552554	3288	3288
ENSG00000005102	ENST00000318579	0.14351610802238002	1521	1521
ENSG00000005108	ENST00000423059	0.27674065204727505	5429	5429
ENSG00000005156	ENST00000378526	0.19375844965983646	5237	5237
ENSG00000005175	ENST00000005386	0.09974601076193837	2256	2256
ENSG00000005187	ENST00000887872	0.14730309965861502	871	871
ENSG00000005189	ENST00000909368	0.17602659545794247	188	188
ENSG00000005194	ENST00000950773	0.050723061378443124	993	993
ENSG00000005206	ENST00000613503	0.015847295925020183	1886	1886
ENSG00000005238	ENST00000378566	0.7443660954946679	1109	1109
ENSG00000005243	ENST00000579263	0.029162055226788292	506	506
ENSG00000005249	ENST00000265717	0.4371274117464049	2229	2229
ENSG00000005302	ENST00000648614	0.146877316570469	2698	2698
ENSG00000005339	ENST00000262367	0.5023689939455701	2664	2664
ENSG00000005379	ENST00000268893	0.4097317856223098	1249	1249
ENSG00000005381	ENST00000225275	0.04323595484512883	801	801
ENSG00000005421	ENST00000893036	0.01759966123313551	1771	1771
ENSG00000005436	ENST00000541687	0.3614604150894564	3423	3423
ENSG00000005448	ENST00000409791	0.5309175253922561	97	97
ENSG00000005469	ENST00000881399	0.15674480973413799	1156	1156
ENSG00000005471	ENST00000649586	0.061719999906199516	400	400
ENSG00000005483	ENST00000311117	0.48066666672617464	1686	1686
ENSG00000005486	ENST00000873333	0.08553287211908704	578	578
ENSG00000005513	ENST00000711626	0.3393892156806686	3060	3060
ENSG00000005700	ENST00000945770	0.196407356188619	1441	1441
ENSG00000005801	ENST00000354599	0.105282955509544	1191	1191
ENSG00000005810	ENST00000682321	0.28407403587043917	2904	2904
ENSG00000005812	ENST00000914959	0.2145156950480072	2899	2899
ENSG00000005844	ENST00000875722	0.022456936231528987	1521	1521
ENSG00000005882	ENST00000503176	0.09916009757522756	2055	2055
ENSG00000005884	ENST00000876973	0.25833901921922625	1407	1407
ENSG00000005889	ENST00000304543	0.5675859809716655	4879	4879
ENSG00000005893	ENST00000200639	0.2954917876297329	5175	5175
ENSG00000005961	ENST00000901306	0.08378074840981174	187	187
ENSG00000005981	ENST00000325885	0.13408326604239804	2474	2474
ENSG00000006007	ENST00000353258	0.12686212710452097	1777	1777
ENSG00000006015	ENST00000595490	0.4880524014186838	229	229
ENSG00000006016	ENST00000971859	0.06935939468983043	793	793
ENSG00000006025	ENST00000942055	0.2674891775815639	924	924
ENSG00000006042	ENST00000579849	0.050515051249752224	3322	3322
ENSG00000006047	ENST00000007699	0.8600404761897932	420	420
ENSG00000006059	ENST00000007735	0.009592592724840398	27	27
ENSG00000006062	ENST00000344686	0.10234937374395654	1517	1517
ENSG00000006071	ENST00000644772	0.1266957405353868	493	493
