predictor_a	predictor_b	n_a	n_b	intersection	union	only_a	only_b	jaccard	overlap_coefficient	fraction_a_in_b	fraction_b_in_a
TargetScan v8	miRDB	13144	13420	11606	14958	1538	1814	0.7759058697686857	0.8829884357881923	0.8829884357881923	0.8648286140089418
TargetScan v8	microT-CNN	13144	19392	13144	19392	0	6248	0.6778052805280528	1.0	1.0	0.6778052805280528
TargetScan v8	miRBind2-UTR	13144	18639	13060	18723	84	5579	0.69753778774769	0.9936092513694461	0.9936092513694461	0.700681367026128
TargetScan v8	miRAW	13144	18669	12835	18978	309	5834	0.676309410896828	0.9764911746804625	0.9764911746804625	0.6875033477958112
miRDB	microT-CNN	13420	19392	13420	19392	0	5972	0.6920379537953796	1.0	1.0	0.6920379537953796
miRDB	miRBind2-UTR	13420	18639	13373	18686	47	5266	0.7156694851760677	0.9964977645305514	0.9964977645305514	0.7174741134181019
miRDB	miRAW	13420	18669	13117	18972	303	5552	0.6913873076112166	0.9774217585692996	0.9774217585692996	0.7026086024961166
microT-CNN	miRBind2-UTR	19392	18639	18573	19458	819	66	0.9545174221399938	0.9964590375020119	0.9577660891089109	0.9964590375020119
microT-CNN	miRAW	19392	18669	18596	19465	796	73	0.9553557667608528	0.9960897744924742	0.9589521452145214	0.9960897744924742
miRBind2-UTR	miRAW	18639	18669	18128	19180	511	541	0.9451511991657977	0.972584366114062	0.972584366114062	0.9710214794579249
