gene_name   logFC	logCPM	F	PValue	FDR
ENSG00000088832	-1.8296460170651	7.47610778594926	1645.69980774921	1.49688742596426e-15	2.33828784809878e-11
ENSG00000167460	1.25143306973486	8.3137998669182	605.057716914494	1.21051296230971e-12	7.15515433703528e-09
ENSG00000138757	1.05917500850758	7.48757878287573	593.613596812203	1.37414141291248e-12	7.15515433703528e-09
ENSG00000089597	1.07793642146183	8.94220482459352	399.89984774832	1.86849586032373e-11	7.29694345852925e-08
ENSG00000166197	0.903856696031622	7.73446387865514	317.368280636526	8.48610864528459e-11	2.65123006295981e-07
ENSG00000117899	0.937782801760656	6.1319453731197	264.725626850125	2.75666000525211e-10	7.17696432367386e-07
ENSG00000155189	-1.24142442227667	5.35202343934186	244.280874096849	4.63285844439508e-10	1.03385545371279e-06
ENSG00000165806	0.989155841973074	5.61413915056048	232.328536337375	6.39891366102054e-10	1.24946787873502e-06
ENSG00000139645	-0.760031501015895	7.97443398497241	221.226016978117	8.76310324423496e-10	1.52098261975771e-06
ENSG00000112378	0.805755525726821	7.27066361380418	197.568849983879	1.80582457320451e-09	2.82087856580276e-06
ENSG00000051523	-0.87565534575307	5.72360937026047	191.403982973598	2.20968219884569e-09	3.13794960256077e-06
ENSG00000143418	-0.594495456169631	7.39882663403069	182.736145536598	2.965791429224e-09	3.27488608170734e-06
ENSG00000100216	0.755036931773578	6.64161451391017	182.617007271555	2.97808934520927e-09	3.27488608170734e-06
ENSG00000004478	-0.567621009090497	8.15588831637795	181.676079221433	3.07723237590995e-09	3.27488608170734e-06
ENSG00000183955	-0.850415456045837	6.59494565616092	181.055637422082	3.14469568053326e-09	3.27488608170734e-06
ENSG00000179361	-0.77702319401064	5.86487902011337	174.613407643975	3.95532586936726e-09	3.86163408783663e-06
ENSG00000117862	0.672341200491897	6.27004141880948	170.304657589726	4.63157068328091e-09	4.25586856726653e-06
ENSG00000110108	-0.990449768312557	5.91798297045438	166.605274896069	5.31967294268721e-09	4.61658950209538e-06
ENSG00000152137	-1.17768844588203	4.65758184797762	164.464356575577	5.77159847885914e-09	4.66739564657582e-06
ENSG00000117758	0.832085148412024	5.54638666851485	163.557150548667	5.9757962314523e-09	4.66739564657582e-06
ENSG00000060491	0.872495166631549	6.02093735616237	159.774636832811	6.9229775270081e-09	5.12409191994577e-06
ENSG00000145391	0.775677468785417	6.50123050178842	157.451720953025	7.58986919133619e-09	5.12409191994577e-06
ENSG00000127774	1.07042444094141	5.17530548081733	157.028800921868	7.71942176406569e-09	5.12409191994577e-06
ENSG00000100422	-0.726293049558153	6.26753327013908	156.089009749196	8.01533699258942e-09	5.12409191994577e-06
ENSG00000132640	-0.671073544430231	6.41683468583071	155.521176112402	8.2006464374012e-09	5.12409191994577e-06
ENSG00000049245	-0.616302805704155	6.89939397551599	151.865108823663	9.51867253936989e-09	5.71889168221143e-06
ENSG00000173207	-0.816359591774731	6.09815270611337	149.768737321624	1.03835584844393e-08	6.00746544760839e-06
ENSG00000102870	0.649037101065467	6.21299521725542	146.65598093522	1.18395165686405e-08	6.60518172566903e-06
ENSG00000071564	0.663098056932459	6.74537837919352	143.198150159734	1.37391536317977e-08	7.40066616835559e-06
ENSG00000123131	0.60138670418812	6.76858559370746	140.459581880491	1.54942483401576e-08	7.98691749771089e-06
ENSG00000099875	-0.758569116326483	6.28586883179234	139.947808161572	1.58501019415554e-08	7.98691749771089e-06
ENSG00000119471	0.754625407514669	5.61990663521666	137.365365280218	1.77952850042862e-08	8.6868795953736e-06
ENSG00000046604	-0.526487807450843	7.76534100450556	135.71785263892	1.91787493726295e-08	8.89218751672991e-06
ENSG00000291237	-0.595511065621714	6.69009416724835	135.518614959402	1.93543547512206e-08	8.89218751672991e-06
ENSG00000166851	-0.560265669742731	7.47606879854568	133.958314649026	2.07948854393594e-08	9.28105444137809e-06
ENSG00000104964	0.554975546457493	7.0077503882154	133.134281541461	2.1605150623069e-08	9.37483494119336e-06
ENSG00000169105	1.10159764415452	4.52621152518199	132.438101675416	2.23198164540134e-08	9.42318521157142e-06
ENSG00000070814	0.461012412563019	7.85748780645175	131.317587964989	2.35227948623976e-08	9.66972575119772e-06
ENSG00000179010	0.49579421558269	7.51549444201796	130.356554415991	2.46158739511531e-08	9.81483735049453e-06
ENSG00000106268	-1.44594336059102	4.41520353840654	129.921443257959	2.51324175161501e-08	9.81483735049453e-06
