logFC	logCPM	F	PValue	FDR
ENSG00000171848	4.0430814042489	5.79797757557659	1627.17344063508	7.33168325924443e-13	6.65188828730623e-09
ENSG00000011426	3.27104247710359	6.71873041239671	1602.7018236926	7.93450025324296e-13	6.65188828730623e-09
ENSG00000148773	3.5105035149511	5.88502590826189	1112.64811923174	5.32044721976067e-12	2.15849222377014e-08
ENSG00000198901	3.53467998211727	5.13854829733322	1055.21702845942	7.01087167771147e-12	2.15849222377014e-08
ENSG00000131747	3.34807036528105	6.53007853680281	1049.33610738845	7.21736333504096e-12	2.15849222377014e-08
ENSG00000182985	-2.39746467910143	7.02389336434575	1019.39763242658	8.39025454460336e-12	2.15849222377014e-08
ENSG00000162849	-3.34788905655906	4.93907935128737	980.481141368303	1.02742595834833e-11	2.15849222377014e-08
ENSG00000112984	3.70290526943427	4.90504068726733	980.057643458467	1.02987641141296e-11	2.15849222377014e-08
ENSG00000161800	3.09198148698702	5.24141880036616	923.653905285467	1.40135758119754e-11	2.61072917377101e-08
ENSG00000088325	2.9639743196141	5.74816900388232	890.114706789606	1.69831544285425e-11	2.84756550303372e-08
ENSG00000135074	-2.09918222710829	8.74562969888114	866.914019889367	1.94797238841038e-11	2.96924118513426e-08
ENSG00000120802	2.22534738788549	6.38520420234075	820.049945284261	2.59962026443404e-11	3.63231941448047e-08
ENSG00000170962	-2.185549366914	5.99505026289	791.11696183678	3.13234081838722e-11	3.76705851274734e-08
ENSG00000134057	2.80464463899368	5.2652595302367	788.019605703346	3.19692812066225e-11	3.76705851274734e-08
ENSG00000127022	1.5703945632564	9.48197002962311	780.040004511515	3.37006487094949e-11	3.76705851274734e-08
ENSG00000128045	-3.19354106442385	4.64458568372225	754.208359937609	4.01359946428355e-11	4.20600138860264e-08
ENSG00000134986	-1.66059139425588	7.21667711000258	705.482043478229	5.67338932466417e-11	5.1729946311179e-08
ENSG00000024526	3.49226018981335	4.4449592271772	705.139459666782	5.68931646214685e-11	5.1729946311179e-08
ENSG00000113368	2.99729986144064	4.79316987105239	700.153572666716	5.90122757429296e-11	5.1729946311179e-08
ENSG00000118257	-1.78503520762394	8.31840885061602	694.137184191694	6.17044746361055e-11	5.1729946311179e-08
ENSG00000198826	2.65259004354623	4.86262292970217	669.262239673748	7.45447637095199e-11	5.56844983801619e-08
ENSG00000089685	3.39150705496979	4.67631132745109	665.525065303666	7.67466774024442e-11	5.56844983801619e-08
ENSG00000110900	-2.83771386000749	4.71626290945385	663.434257158736	7.79984520493471e-11	5.56844983801619e-08
ENSG00000169679	3.57798981195303	4.35266127392813	660.700085500776	7.97058484597058e-11	5.56844983801619e-08
ENSG00000087586	2.43902676956506	5.06147385349112	645.110977556697	9.01641253708871e-11	5.83043542084245e-08
ENSG00000185070	-1.65576921664585	6.89697437578727	643.732387697621	9.11629911838815e-11	5.83043542084245e-08
ENSG00000117399	3.81702853979538	4.3613028172943	636.63731524329	9.6586233204824e-11	5.83043542084245e-08
