logFC	logCPM	F	PValue	FDR
ENSG00000135116	3.7627002008834	2.0137190597079	533.088592134975	1.03556259374507e-11	2.08127370090884e-07
ENSG00000178965	3.934505355728	3.27085947567592	541.064608928773	3.95809542403312e-11	3.96983865291341e-07
ENSG00000121039	-2.48101267518344	4.21430123217212	536.926795366026	5.92572194185502e-11	3.96983865291341e-07
ENSG00000189056	2.37592718327884	4.62578892101298	495.620789228951	9.31197277942511e-11	4.67880072302214e-07
ENSG00000188282	3.72523507715909	1.49617453082905	318.704012882801	1.47359720617597e-10	4.97143408223975e-07
ENSG00000163430	-1.49537042022423	7.23856607990726	455.501893531825	1.48415785120104e-10	4.97143408223975e-07
ENSG00000106484	-1.8437201389037	4.53602468973801	355.318121725868	5.90676301404492e-10	1.49472952985193e-06
ENSG00000108691	-2.03177696596905	3.69771158338401	352.521246053149	6.17419964647395e-10	1.49472952985193e-06
ENSG00000182718	-1.55905565905021	6.63429722520432	341.605772385918	7.34303530335107e-10	1.49472952985193e-06
ENSG00000137801	-1.64942688844817	5.22092928900251	336.354120105299	8.00104981837807e-10	1.49472952985193e-06
ENSG00000198208	1.81172764070148	5.81976905937323	335.020174091777	8.1809258773864e-10	1.49472952985193e-06
ENSG00000042832	2.90682358751326	1.29931384259428	252.62905398408	1.09052488042758e-09	1.76677617009819e-06
ENSG00000150687	-2.20427002647821	3.41097457271503	315.402766406407	1.14280476720452e-09	1.76677617009819e-06
ENSG00000081923	-3.08435924842764	1.39113947586651	313.250218837587	1.24474256637184e-09	1.78691686421008e-06
ENSG00000132561	-1.83194573903077	3.33306911451771	306.058714972561	1.34916561314127e-09	1.80770203286088e-06
ENSG00000250579	3.53705196972072	1.41592720031623	209.796782992731	2.10355285144447e-09	2.29674826972891e-06
ENSG00000187122	1.49239628061534	5.96231247277168	281.720632094938	2.12735737649602e-09	2.29674826972891e-06
ENSG00000120885	1.76200730141558	7.2677213351843	281.551711125268	2.13405839873383e-09	2.29674826972891e-06
ENSG00000115414	-1.26682671048994	6.52121688872986	280.666621142827	2.1712716252786e-09	2.29674826972891e-06
