logFC	logCPM	F	PValue	FDR
ENSG00000118705	-1.33338556840468	7.52578677281113	1515.02000247297	4.67623050505158e-17	7.11348184428446e-13
ENSG00000101384	1.18167565659823	7.50988325473848	1075.99079309211	6.67531876816291e-16	5.04674046812174e-12
ENSG00000169100	-1.22501151732114	8.41806154651728	1021.94033872144	9.95281449143125e-16	5.04674046812174e-12
ENSG00000159840	-1.0968736448542	7.40420864880813	967.458419682887	1.52128111411334e-15	5.78543207697304e-12
ENSG00000004478	-1.06327715637258	7.59478874819381	916.22263978743	2.31775811748512e-15	7.05154729663673e-12
ENSG00000115339	-1.19782337906281	6.68770252381512	887.823841181655	2.95670316383199e-15	7.49622808803538e-12
ENSG00000128595	1.14597433218201	7.66465548435043	850.65386502699	4.11478330987256e-15	8.94201195854021e-12
ENSG00000111145	-1.34508848739603	6.26367407892593	815.16487964598	5.71832926213459e-15	9.77426742357753e-12
ENSG00000105976	1.16061326911637	7.50931972331004	813.981069212226	5.78282979307112e-15	9.77426742357753e-12
ENSG00000149948	1.30992985184434	7.25739522816896	765.224375856586	9.3131730360592e-15	1.41671988224533e-11
ENSG00000276043	-0.957893885310036	6.9027797867898	633.064828151411	4.0065563486409e-14	5.54070319777503e-11
ENSG00000162522	-1.00020288658342	7.0271706392148	602.649535793855	5.84660272636328e-14	7.41154338945319e-11
ENSG00000111331	-0.989130929783737	7.62424339449963	562.079540970138	9.97450551014289e-14	1.16717059861764e-10
ENSG00000106278	1.28992571679834	5.63191820089066	550.053529027842	1.17707342788809e-13	1.25832109377771e-10
ENSG00000186340	0.753326034241913	8.40823000190935	546.277539388023	1.24078467043555e-13	1.25832109377771e-10
ENSG00000183283	-1.00069165781773	6.75149777919042	492.265827695828	2.74913515307346e-13	2.47259884281192e-10
ENSG00000175334	1.0727705643987	6.12902243046382	491.936199629523	2.7632251070078e-13	2.47259884281192e-10
ENSG00000161203	-0.745959630987895	8.02350488128213	483.296305109609	3.16312488141243e-13	2.67319198311366e-10
ENSG00000123643	1.67054245652311	4.42109631858351	475.699049565143	3.56949045804582e-13	2.85784678146279e-10
ENSG00000130508	-0.915154833799183	7.5308668768021	465.379163282232	4.21855828696773e-13	3.15563511614061e-10
ENSG00000143367	-0.90482604938098	5.95560859446182	463.420086689963	4.35631984216098e-13	3.15563511614061e-10
ENSG00000071127	0.653857417292303	9.02058513486052	449.724192116649	5.47399082909026e-13	3.66121197937446e-10
ENSG00000165474	0.714189347904135	8.5825713320339	449.062962818337	5.53562158332977e-13	3.66121197937446e-10
ENSG00000165272	0.703140445837491	9.37534633596985	444.339428334981	5.99934189101553e-13	3.80258286858867e-10
ENSG00000134899	1.05194536542994	5.71622531049477	430.478992674856	7.63372448736466e-13	4.64496867607165e-10
ENSG00000180398	0.754276032713798	6.87008292585965	421.992883017144	8.88006769454951e-13	5.04735362394792e-10
ENSG00000137713	0.951730815849689	5.93608107827022	421.503804115448	8.95862134148e-13	5.04735362394792e-10
ENSG00000185033	0.676155925777715	7.88837042675245	413.752644113123	1.03139936232667e-12	5.60344539275476e-10
ENSG00000136026	-0.802606918336947	7.4794875804608	408.002675992751	1.14692672258352e-12	6.01622389791052e-10
ENSG00000168398	0.93489425610002	5.84478328897309	384.283772361216	1.80554956036549e-12	9.15533997075996e-10
ENSG00000067048	0.953074328152092	6.30651561555698	361.911514557743	2.84143209009441e-12	1.38367521110741e-09
ENSG00000072042	-0.695005140638902	7.19758803151009	360.53248452832	2.92452623299547e-12	1.38367521110741e-09
ENSG00000018408	0.975157979388705	5.60766737282729	358.357910493621	3.06119551465843e-12	1.38367521110741e-09
ENSG00000148400	-0.825309875006781	7.09861238366653	357.873180722076	3.09262142898053e-12	1.38367521110741e-09
ENSG00000110536	1.27871418260389	4.98422791186185	351.219907123982	3.56304733077089e-12	1.52290774937899e-09
ENSG00000101188	1.25744446824285	4.66026385684159	350.160973266446	3.64516442488767e-12	1.52290774937899e-09
ENSG00000142871	-0.735809830666515	7.16495680431949	349.415280514992	3.70415374224444e-12	1.52290774937899e-09
ENSG00000110047	-0.639131943634956	7.74420074988926	347.568130753398	3.85518075999168e-12	1.54328972949983e-09
ENSG00000140943	0.921312111656774	6.24455005344591	334.300803073822	5.16854311847747e-12	1.97089252719944e-09
ENSG00000011007	0.702989758780797	6.49526576093318	334.181301600876	5.18246786010896e-12	1.97089252719944e-09
ENSG00000135048	0.75501696906339	7.13599643289337	330.280359887845	5.66118896000571e-12	2.06809694512538e-09
ENSG00000138757	0.857188630268416	7.21722887178923	329.903871097448	5.70997052953367e-12	2.06809694512538e-09
ENSG00000188293	-1.0792793962859	6.2470803879979	327.365350352316	6.05153590934767e-12	2.14083637797667e-09
ENSG00000167656	0.877752916125331	5.74098941554817	324.845526371718	6.41353307303945e-12	2.21670502675323e-09
ENSG00000102024	0.59340176998766	8.57639123216473	323.887910713589	6.55743664238071e-12	2.21670502675323e-09
ENSG00000089050	-1.29198445043637	4.30209547313851	322.059726637108	6.84273678167306e-12	2.2628633026698e-09
ENSG00000163347	0.728387896511329	7.2603300346326	315.325450953881	8.01939834718176e-12	2.59555505653891e-09
ENSG00000115758	0.59113326215946	8.31291702642612	311.262821080121	8.8391443676544e-12	2.79980965230114e-09
ENSG00000135480	-0.729326011458432	8.01369936685568	310.430177912594	9.01858223525875e-12	2.79980965230114e-09
ENSG00000147697	0.960426688456955	4.88327826738162	301.428555311543	1.12448259727668e-11	3.33095756866141e-09
ENSG00000132471	-0.676287232015644	6.37968849351049	301.126010333021	1.1329660471513e-11	3.33095756866141e-09
ENSG00000160446	-0.907760190190077	5.42053792237896	300.546206264389	1.1494462430822e-11	3.33095756866141e-09
ENSG00000143878	0.881104360921973	5.38773878393334	300.161215847696	1.16053609741687e-11	3.33095756866141e-09
ENSG00000213281	0.911709201058043	6.54314001575712	298.060169827136	1.22322030285178e-11	3.44585689758913e-09
ENSG00000106771	-0.752370196855236	6.13166827469994	296.140509631256	1.28385038231987e-11	3.55089673015452e-09
ENSG00000090061	-0.839658878076706	5.76197980661756	295.218161737315	1.31418215114117e-11	3.56988194342133e-09
ENSG00000153310	0.867462407273041	5.8348443561684	286.021305183875	1.66514850043957e-11	4.43358312216921e-09
ENSG00000099810	0.734561335359287	6.14814531366123	285.445173752718	1.69042743285442e-11	4.43358312216921e-09
ENSG00000149212	1.518771312617	3.82357953983109	276.897193589814	2.1213769170927e-11	5.4695568920024e-09
ENSG00000065559	0.768185292326545	5.72062443209376	274.837143075643	2.2427717563834e-11	5.68617399301737e-09
ENSG00000075618	0.497755409474602	9.94325622027728	269.995783097113	2.56050436597361e-11	6.38531023199844e-09
ENSG00000018236	0.674095915268045	7.06622228066968	269.258803952403	2.61318796239186e-11	6.41158311030726e-09
ENSG00000138061	0.883451061199876	5.19707492023868	265.970749326902	2.86362736836796e-11	6.91452373454181e-09
ENSG00000180530	0.847749442046706	5.67387770446844	265.267905536623	2.92059505688494e-11	6.9418893758334e-09
