logFC	logCPM	F	PValue	FDR
ENSG00000198363	-2.5632650793859	9.72100964551661	3460.97900386536	4.51413703849547e-22	7.0817781859917e-18
ENSG00000104341	-2.79597137125153	8.18940884906335	3050.76827807927	1.40034469704514e-21	9.85376023583108e-18
ENSG00000103257	-1.83662609460602	10.9195380595162	2951.45013616968	1.88432436942206e-21	9.85376023583108e-18
ENSG00000034510	-2.12254546018239	9.72341631016585	2747.90581700515	3.57626834913455e-21	1.40261244653057e-17
ENSG00000058262	-2.32881500387554	8.13348952665071	2159.46931005092	3.09668254680409e-20	9.71615115885252e-17
ENSG00000166681	-2.31633659245515	7.71890018323898	1784.41754303994	1.70531026423231e-19	4.45881790421275e-16
ENSG00000117632	1.69691520481861	8.63658234222358	1496.13616740004	8.22144575370581e-19	1.84254344263053e-15
ENSG00000169908	-1.79423149758374	9.73601627347394	1465.76666588843	9.87121739027473e-19	1.93574573023287e-15
ENSG00000168003	-1.50599546612537	10.3115224422589	1322.49661612842	2.46850231744081e-18	4.30287381733461e-15
ENSG00000184009	-1.31679212278858	10.5889636252079	1297.53627503929	2.9249459066435e-18	4.58865513834233e-15
ENSG00000167085	-1.69176387754337	8.5789975792201	1146.58499914612	8.78905450135751e-18	1.25347897288451e-14
ENSG00000186480	1.5981350720259	7.98151660903234	1022.88744968242	2.42222504922536e-17	3.16665554768728e-14
ENSG00000128422	-1.66262252157445	9.02125076840113	937.62795433596	5.2397912334916e-17	6.32321883623202e-14
ENSG00000141349	-2.42836030489836	6.74724458256771	906.824440224895	7.04424114127908e-17	7.89357535888473e-14
ENSG00000124466	-2.19969469055094	6.56206519527379	876.31680528423	9.53619292024477e-17	9.97358630218666e-14
ENSG00000128595	1.38462668501062	8.17204470139141	865.064237827674	1.06903715473814e-16	1.04819093022074e-13
ENSG00000069849	-1.16410479831238	9.8356167356144	843.927590908026	1.33045405550126e-16	1.22777430721787e-13
