logFC	logCPM	F	PValue	FDR
ENSG00000177606	0.835291439953394	7.12847577365637	294.267526461022	1.72488299813965e-10	2.09174779166081e-06
ENSG00000123358	0.840662662177268	6.86683000988996	264.363340927441	3.42361189099108e-10	2.09174779166081e-06
ENSG00000146674	-1.42559763400027	4.29257856057892	255.415679028821	4.26441554052595e-10	2.09174779166081e-06
ENSG00000291313	10.071264093205	1.84982069240812	297.563093512225	5.06384504426753e-10	2.09174779166081e-06
ENSG00000118523	0.888280376067107	6.24193566935038	206.555017155828	1.63813335795694e-09	5.41337549470451e-06
ENSG00000104419	-0.698347159021581	6.02481105979441	185.630670002595	3.20486999572085e-09	8.82567782321594e-06
ENSG00000062716	0.420235079828181	9.16169622177003	165.39458757656	6.58562025123126e-09	1.55448862015849e-05
ENSG00000245532	-1.09511756669169	11.6043562938952	338.972049869443	8.43128275973979e-09	1.74137606298976e-05
ENSG00000257529	-5.46123248486672	1.67335988859173	152.517484238966	1.08964447646666e-08	1.83438224851462e-05
ENSG00000136244	1.52644459216058	3.29587228836366	152.028599655056	1.11019926678849e-08	1.83438224851462e-05
ENSG00000120129	0.699668287261944	6.2870156791382	148.931905438844	1.26051357518988e-08	1.89340598207839e-05
ENSG00000124767	0.441712320090097	7.83784003683788	125.780587737973	3.54856016167241e-08	4.8860716292761e-05
ENSG00000162772	0.679444996754247	5.24202236425043	116.589174602321	5.62089004639444e-08	7.14415124896733e-05
ENSG00000186487	0.93804912303768	3.9423321281311	99.2270278500971	1.47695820658626e-07	0.000165823524850042
ENSG00000167996	-0.332420743052872	10.1723948945763	98.9086690723138	1.50538816967296e-07	0.000165823524850042
ENSG00000160888	0.403882448045308	7.24463152484157	96.1167226390326	1.7839290048873e-07	0.000184224118423455
ENSG00000289259	1.09107509440742	3.45442839821587	94.0494552385924	2.02869367327222e-07	0.000197177091549864
ENSG00000170345	0.343467042164168	8.24995559664539	92.0749970210784	2.29903608826993e-07	0.000211038740480467
ENSG00000128422	0.422336648762708	7.44225376634976	84.5569032698189	3.78722835496497e-07	0.000316187233400067
