logFC	logCPM	F	PValue	FDR
ENSG00000175899	4.86321734851135	8.65868431503658	3187.69996607416	1.23408403386005e-13	2.1331142525271e-09
ENSG00000127951	6.07778238678994	7.57938498756444	1911.66345800705	1.49405081270057e-12	8.25885794710806e-09
ENSG00000197565	4.58353208345283	5.1750000946065	1897.91710664326	1.54857194707545e-12	8.25885794710806e-09
ENSG00000187955	3.53081848728694	6.36631902985778	1599.31387200477	3.56081490184378e-12	8.25885794710806e-09
ENSG00000196562	4.59409593409503	4.46795534694055	1577.72716607038	3.81297050829281e-12	8.25885794710806e-09
ENSG00000163661	-3.24770073651066	5.99067710935217	1569.01533647381	3.90822535095577e-12	8.25885794710806e-09
ENSG00000137975	6.54823758595582	3.88321642836345	1598.83243630527	4.11267288941718e-12	8.25885794710806e-09
ENSG00000156804	3.81091137930113	5.27605188397235	1542.06916285306	4.25282515463626e-12	8.25885794710806e-09
ENSG00000120594	3.30265523756546	6.6829011105255	1509.23635707396	4.72081009621971e-12	8.25885794710806e-09
ENSG00000143341	3.2184374182756	6.48163286137157	1505.50356731545	4.77804914498586e-12	8.25885794710806e-09
ENSG00000049540	3.64282289891839	6.59553224045859	1453.86887689838	5.66259011660289e-12	8.63493930708663e-09
ENSG00000124766	2.7966001738221	7.31824650255498	1420.46166768188	6.33991131460348e-12	8.63493930708663e-09
ENSG00000104081	5.51891868038621	5.1926251590865	1414.31483168616	6.49431362407441e-12	8.63493930708663e-09
ENSG00000181019	-2.63917225703755	7.65725347176996	1364.13330475642	7.71860698427824e-12	9.33003186701249e-09
ENSG00000112984	-3.1253104905427	5.41760824413911	1350.83189476424	8.09664321696195e-12	9.33003186701249e-09
ENSG00000184357	-2.47419909334758	7.38447397063237	1308.59595576499	9.44711661521991e-12	9.7286006558813e-09
ENSG00000265972	2.96941059492473	5.90826310621486	1305.20377766181	9.56819271911959e-12	9.7286006558813e-09
ENSG00000013297	-2.43893295890146	7.39508919076946	1287.21940427247	1.02345397281012e-11	9.82800106667938e-09
ENSG00000184564	4.56982430754784	5.08303292113019	1272.98643226277	1.08136546702485e-11	9.83758005132866e-09
ENSG00000188153	2.61851405146462	6.83946230467752	1237.31346546438	1.24030050928249e-11	1.07192971514739e-08
ENSG00000148773	-2.64670886412333	7.68203859693528	1124.06251615347	1.9770945149968e-11	1.62733708055808e-08
ENSG00000135318	-2.84968351565675	8.55700024406836	1087.42658302346	2.32216327986336e-11	1.8244814678381e-08
ENSG00000152217	3.36432603304055	4.98168864599303	1054.65557405943	2.6947243010806e-11	1.96060992225649e-08
ENSG00000122861	-2.26652272040561	8.29711736559764	1039.94675311003	2.88400073336146e-11	1.96060992225649e-08
ENSG00000101230	7.28279410947182	2.625508590678	649.629924589434	3.07736703339426e-11	1.96060992225649e-08
ENSG00000128510	-2.84451519395944	5.43431648203214	1018.04026218263	3.19829152093168e-11	1.96060992225649e-08
ENSG00000150471	7.50515723423438	2.60186395490281	557.125059971631	3.22107904998176e-11	1.96060992225649e-08
ENSG00000169116	7.11894301604499	3.52602525941611	978.582983173771	3.2806957880679e-11	1.96060992225649e-08
ENSG00000159388	2.68091589213108	6.31280866919807	1007.00299780367	3.37156379358812e-11	1.96060992225649e-08
ENSG00000206052	3.56293101666794	4.89307995976255	1005.15884331115	3.40285204904221e-11	1.96060992225649e-08
ENSG00000122966	-2.69942542429662	5.66668051208147	990.592433392818	3.65165700413808e-11	2.03609326827506e-08
ENSG00000116991	2.29354203209841	6.17693994980508	940.945153953001	4.68525838962774e-11	2.53077160202236e-08
ENSG00000072952	2.34487593098952	7.14359135731561	927.712650757277	5.01821000154889e-11	2.62108812421824e-08
ENSG00000198901	-2.53967985845949	5.80106830998818	919.145083497164	5.24929696073459e-11	2.62108812421824e-08
ENSG00000088325	-2.55318729956199	6.40549574449951	915.561066841488	5.34943686321171e-11	2.62108812421824e-08
ENSG00000107796	2.08856162388329	8.88419008917634	911.736678261698	5.45902068104464e-11	2.62108812421824e-08
ENSG00000273703	-2.5763254645516	5.16983398276108	878.643975299481	6.53101422287414e-11	2.9556147977665e-08
