logFC	logCPM	F	PValue	FDR
ENSG00000170540	-1.95368733712107	8.50125190014956	1657.89192466815	3.76847506964585e-19	5.82832354271427e-15
ENSG00000198363	-1.27072210507819	9.95924532601074	1145.33640854657	1.00301465917711e-17	5.84420509638966e-14
ENSG00000113648	-2.1023415256714	7.21186583930056	1129.6067867081	1.13362312745176e-17	5.84420509638966e-14
ENSG00000119922	1.92306117661575	7.25363297744233	917.973802830273	7.08690843176797e-17	2.74015314514308e-13
ENSG00000113558	-1.6619891407018	7.82851264877838	830.028631053975	1.72113366665921e-16	4.65521939836521e-13
ENSG00000169908	-1.35367027097335	9.81053207729804	825.502605954561	1.80598192100034e-16	4.65521939836521e-13
ENSG00000102172	-1.78881345473951	7.21136323813849	697.290234899871	7.95664908145189e-16	1.75796478133907e-12
ENSG00000135114	1.82758423055726	7.68789465367174	676.976328255653	1.03104612600036e-15	1.99326992309019e-12
ENSG00000117632	1.20334460216801	8.23882771702064	648.160546240776	1.50909246135809e-15	2.5932915563738e-12
ENSG00000167004	-1.10097598580882	8.88172246507305	631.761858973957	1.88840544339933e-15	2.75778017271321e-12
ENSG00000146731	-1.01158925888135	9.57734841582775	629.027036966013	1.96143682269787e-15	2.75778017271321e-12
ENSG00000059804	1.4180038627144	7.98596949802022	601.336872372183	2.90717058573745e-15	3.71704664592587e-12
ENSG00000117394	-1.63928255410598	6.95544789528205	596.397355789016	3.12437646431115e-15	3.71704664592587e-12
ENSG00000163041	1.32688440593025	8.05363027036493	591.293924613065	3.3678293952558e-15	3.72048924478759e-12
ENSG00000034510	-1.10881129497363	9.93838636356348	550.938811280611	6.239232781661e-15	6.13637517345452e-12
ENSG00000204520	-1.74153858320683	6.57088749914828	549.848325521521	6.34824794874385e-15	6.13637517345452e-12
ENSG00000119917	1.82879903124001	6.6733769216273	518.556744470813	1.05723151687199e-14	9.618319199966e-12
ENSG00000182220	-1.58041913817804	6.97956392470642	512.907567521707	1.16283587707681e-14	9.9913442638166e-12
ENSG00000276043	-1.53623178177483	7.09182874399618	503.220348881217	1.37243289353993e-14	1.11716037534150e-11
ENSG00000119125	-1.79404033578376	6.23440100652179	492.600285252168	1.65188326044834e-14	1.2774013253047e-11
