logFC	logCPM	F	PValue	FDR
ENSG00000181019	-0.84473451637839	8.07252397682581	504.798916929494	5.91777318523819e-11	8.84233669338291e-07
ENSG00000185896	-0.937041212267973	6.88010283281179	373.955180325708	3.25586550679805e-10	2.43245712012882e-06
ENSG00000138814	-0.553737582926842	9.25760239382755	260.3590657883	2.49950851754151e-09	8.50956272665372e-06
ENSG00000167005	-0.644771855258428	7.9614666864784	257.469737888364	2.66046331725113e-09	8.50956272665372e-06
ENSG00000082153	-0.620901249987045	8.19166862624474	254.358573645612	2.84753136349007e-09	8.50956272665372e-06
ENSG00000183723	-0.733072964962166	7.19516160487429	220.696470212924	6.2798392464753e-09	1.56388930034723e-05
ENSG00000117505	-0.711443553412508	6.7951784983894	212.204329035431	7.80739877398769e-09	1.66654503544177e-05
ENSG00000023734	-0.710673356484906	7.23737511990221	202.258898126019	1.01843668072779e-08	1.90218511042934e-05
ENSG00000174839	0.81420208221382	6.49007363935349	183.229749147827	1.75651272047165e-08	2.91620145214304e-05
ENSG00000175582	-0.741756472054751	6.58218589688773	162.533927659764	3.38879737352266e-08	5.06354103551755e-05
ENSG00000143418	-0.744386764384964	7.91906448555774	157.285439213596	4.05364719266233e-08	5.50632694116005e-05
ENSG00000163444	-0.74319523281202	7.31624992488817	150.491999774418	5.15516967079577e-08	6.41904543508586e-05
ENSG00000104067	0.71464221538724	6.38949855927549	141.368715755675	7.23752902983626e-08	8.31870452029334e-05
ENSG00000260032	-0.398374805479037	9.08352845077549	137.933048418701	8.26756375324092e-08	8.82385268578042e-05
ENSG00000146674	0.766916587753565	6.40748679574411	134.020107202893	9.65719489102685e-08	9.3246125552017e-05
ENSG00000166734	-0.625032487446143	6.71414497092731	133.193139225351	9.98486152343911e-08	9.3246125552017e-05
ENSG00000137710	0.631463900754418	6.73934674147763	130.434941351139	1.11760555547702e-07	9.82309541761036e-05
ENSG00000134108	0.631299307001449	6.29384509802308	127.577789848717	1.25896182761891e-07	0.000104507820157121
ENSG00000139697	0.41915227346678	8.09619233944304	122.209036931221	1.5854615696681e-07	0.000124684035652531
ENSG00000072042	0.516699568185652	7.47084489810784	119.231487964041	1.80907945580628e-07	0.00013017087717673
ENSG00000168036	0.393762420480514	9.18080106066098	118.297811413071	1.88666977802429e-07	0.00013017087717673
ENSG00000089818	-0.664316257392343	6.40504584889178	117.949990587243	1.91658365539289e-07	0.00013017087717673
ENSG00000166598	-0.341177257954285	11.218665249641	114.955051118992	2.19834385910242e-07	0.000134309536075134
ENSG00000127324	-0.533092201804826	7.10867177753199	114.524906277001	2.24268997595346e-07	0.000134309536075134
ENSG00000167642	-0.705902549362711	7.59073905539098	113.986020816688	2.29972303264775e-07	0.000134309536075134
ENSG00000133657	0.374844298562654	8.28529465155293	110.772603774232	2.67737395420477e-07	0.000134309536075134
ENSG00000141699	-0.649028497328045	6.14875828298317	110.596748655962	2.70010561382168e-07	0.000134309536075134
ENSG00000183337	0.533415577074315	7.53778810809905	110.30696237148	2.73793327739122e-07	0.000134309536075134
ENSG00000063046	-0.303483457036661	9.94484780403362	108.435368964756	2.998092017063e-07	0.000134309536075134
ENSG00000064419	-0.473362643293179	7.04824629244892	108.100543411921	3.04764388212262e-07	0.000134309536075134
ENSG00000135373	-0.513449754470238	7.64460272745994	107.989613436221	3.0642637483599e-07	0.000134309536075134
ENSG00000106609	0.526202971231499	6.8409234357771	107.823379862681	3.08938474845233e-07	0.000134309536075134
ENSG00000111667	-0.416639966638233	8.11428126004392	107.812683878048	3.09099846471315e-07	0.000134309536075134
ENSG00000167658	-0.316523304157951	10.8506794055937	107.785990160932	3.09505394608837e-07	0.000134309536075134
ENSG00000164096	-0.738844698214046	6.03932477540326	107.454475524732	3.14605391689847e-07	0.000134309536075134
ENSG00000178502	0.490621832823682	7.11010503884353	102.814794664443	3.97257575847703e-07	0.000164883963842122
ENSG00000011376	-0.592086032463109	6.79504706998648	100.768844447684	4.41645476162526e-07	0.000178353154184337
ENSG00000198363	0.516677070472216	7.23587349929949	99.4849220847836	4.72469583372116e-07	0.000185780013545951
ENSG00000118193	0.538873484931985	6.66488033558796	97.3244995052135	5.30223346918937e-07	0.000203143519222122
ENSG00000170348	-0.36476893786614	8.06201673388513	96.4459089136606	5.56047871735383e-07	0.000207711682486752
ENSG00000152484	-0.843713877488234	5.16079410230498	94.5781133359918	6.16055961944622e-07	0.000222907907284429
ENSG00000198087	-0.553436552161014	7.8550596769495	94.2716325291508	6.26564857846742e-07	0.000222907907284429
ENSG00000131381	0.53852465618628	6.37158436993981	90.4058543432624	7.79605104873318e-07	0.00027090370876784
ENSG00000152558	-0.525179598154792	6.56460233739705	87.8238054149781	9.06377626730118e-07	0.000307797602240941
ENSG00000147475	0.440000758078085	7.12443380347065	85.7556062896525	1.02558376971991e-06	0.000335816580404752
ENSG00000115977	-0.795354183009886	5.99868827210263	85.6233665649898	1.03383500860786e-06	0.000335816580404752
ENSG00000163840	0.677036416502241	6.19679473964491	84.9153637060694	1.07920896423034e-06	0.000336133441985476
ENSG00000067048	0.630270908072134	6.18186558111818	84.9063420458355	1.0798022497191e-06	0.000336133441985476
ENSG00000150593	0.555485392377098	6.32957304811076	83.5135238026462	1.17615680589597e-06	0.00035865581619791
ENSG00000163257	-0.529482777776158	6.13314579835971	82.2324862708314	1.27378795149731e-06	0.00037665428201485
ENSG00000116604	-0.784550660392034	5.60180404435289	81.5292622433129	1.33144800587199e-06	0.00037665428201485
ENSG00000066926	0.404788089385975	7.55542575107542	81.4208481879632	1.34055045952499e-06	0.00037665428201485
ENSG00000094975	-0.480131218003796	7.10323509576905	81.0991263602428	1.36814942563098e-06	0.00037665428201485
ENSG00000131473	0.313993895484776	8.88841366896113	80.9091890263886	1.38475176838147e-06	0.00037665428201485
ENSG00000174238	0.480809760613098	6.77888762044443	80.3480280106802	1.43521384685879e-06	0.00037665428201485
ENSG00000124562	0.829189485550022	5.63385255385883	80.2550293989254	1.44383098750928e-06	0.00037665428201485
ENSG00000176390	0.861021647316979	4.78952544581546	80.2183181266316	1.44730216655276e-06	0.00037665428201485
ENSG00000114503	-0.605675221378164	6.45075010526287	80.058948975733	1.46204981641422e-06	0.00037665428201485
ENSG00000140650	0.585357411217946	5.93161604863554	77.2866028909303	1.75164955064621e-06	0.000443612670945012
ENSG00000286037	-1.09827793843601	4.55455529071027	76.8375574839297	1.80481161937064e-06	0.00044686958031807
ENSG00000205189	0.269486580567673	9.97969698556687	76.6743593107126	1.82432367818245e-06	0.00044686958031807
ENSG00000105855	1.00628169943053	4.82966129885147	73.8732807063855	2.20581771167695e-06	0.000517721955740857
ENSG00000156599	-0.51073793775704	6.49378663323436	73.8446261998909	2.2100007644518e-06	0.000517721955740857
ENSG00000244687	1.0375206246503	5.10854129987047	73.5264882429597	2.25920367689259e-06	0.000517721955740857
ENSG00000185900	-0.333765803416233	8.86591562932285	73.4425702053076	2.27221800990827e-06	0.000517721955740857
ENSG00000270181	-4.9199693929441	2.4024865972157	66.6112791381948	2.28681897195131e-06	0.000517721955740857
ENSG00000175931	0.536155217420421	5.99251429477524	71.9775009959547	2.51708483397644e-06	0.000561347486407105
ENSG00000242498	-0.533157445321347	6.29294124016438	71.2281703136366	2.65415696419204e-06	0.000581009773768823
ENSG00000006576	0.415453480772872	6.97748174047775	71.0761434914045	2.68301930063236e-06	0.000581009773768823
ENSG00000127884	-0.402635999974152	7.74758658228328	70.3635976527669	2.82335170618832e-06	0.000602281649481854
ENSG00000125844	-0.525917327316809	6.44106969446521	70.0981380290808	2.87783500956711e-06	0.000602281649481854
ENSG00000158711	-0.518705306724682	6.65045552729371	69.862331063551	2.92725170703755e-06	0.000602281649481854
ENSG00000241553	0.617995129782686	6.67284570489704	69.7906010377548	2.94248162308763e-06	0.000602281649481854
ENSG00000029364	-0.44284554578906	7.03222277737365	68.701158902415	3.18560781857364e-06	0.000643234486826044
ENSG00000181885	-0.448267017329918	7.51944431732057	67.2412358789006	3.54933465429344e-06	0.000702779718373781
ENSG00000205133	0.567100084647309	5.79966232256127	67.14679921236	3.57457225247004e-06	0.000702779718373781
ENSG00000205581	-0.367175327754283	8.03666298691336	66.1268684175316	3.8599769026345e-06	0.000749036037391749
ENSG00000147324	-0.623895632225951	5.67337162272262	65.117177258199	4.16939674682485e-06	0.000778941076559546
ENSG00000134419	-0.312423987689591	8.66946289580145	65.0738020986533	4.18319547868154e-06	0.000778941076559546
ENSG00000184007	-0.416889041760538	7.53072863070515	65.0486516507035	4.19129823817641e-06	0.000778941076559546
ENSG00000077147	-0.360367560270776	7.86998414087729	64.9519467720868	4.22260923579998e-06	0.000778941076559546
ENSG00000171862	-0.406823504636542	7.17319712272378	64.1149838136433	4.50539093720438e-06	0.000820970138825705
ENSG00000242485	-0.519665197880302	5.92553845596672	63.4756357234216	4.73650860490194e-06	0.000852685681619817
ENSG00000156017	-0.60120854071183	5.69736702385824	62.9264115824285	4.94614676627939e-06	0.000879825297401746
ENSG00000161671	0.692214831855497	6.55734394439008	61.9976825302717	5.32577011597383e-06	0.000928172728673921
ENSG00000205765	0.720639797404522	5.13281990623321	61.9599651002548	5.34218007401668e-06	0.000928172728673921
ENSG00000117475	0.560801295738518	5.76610855873456	60.8133022037553	5.86083052857368e-06	0.000998292981812044
ENSG00000164466	0.434838490270531	6.85504536751349	60.7742815840145	5.87938578499932e-06	0.000998292981812044
ENSG00000069275	0.22420781537524	10.3474204403275	60.1780626531365	6.17348351071292e-06	0.00103645157996711
ENSG00000198898	-0.434051576778754	7.59408939605532	60.0159679971042	6.25640927076447e-06	0.00103870297026403
ENSG00000010292	0.295694310261745	8.68854214408059	59.6153765266314	6.46698995742922e-06	0.00105291443386931
ENSG00000168610	0.572168680224296	5.55846294891281	59.475323379043	6.54279437218213e-06	0.00105291443386931
ENSG00000120705	0.349479794888894	7.2685613796949	59.4554003781114	6.55340933943553e-06	0.00105291443386931
ENSG00000143515	-0.383165188043386	7.23815924923357	59.2249917457476	6.68025524098593e-06	0.0010618763171363
