combination_size	predictors	n_predictors	intersection	union	jaccard	overlap_coefficient	only_first	only_second	fraction_intersection_in_targetscan	fraction_intersection_in_mirdb_mirtarget	fraction_intersection_in_microt_cnn	fraction_intersection_in_mirbind2	fraction_intersection_in_miraw
2	TargetScan v8;miRDB	13144;13420	11606	14958	0.7759058697686857	0.8829884357881923	1538.0	1814.0	0.8829884357881923	0.8648286140089418			
2	TargetScan v8;microT-CNN	13144;19392	13144	19392	0.6778052805280528	1.0	0.0	6248.0	1.0		0.6778052805280528		
2	TargetScan v8;miRBind2-UTR	13144;18639	13060	18723	0.69753778774769	0.9936092513694461	84.0	5579.0	0.9936092513694461			0.700681367026128	
2	TargetScan v8;miRAW	13144;18669	12835	18978	0.676309410896828	0.9764911746804625	309.0	5834.0	0.9764911746804625				0.6875033477958112
2	miRDB;microT-CNN	13420;19392	13420	19392	0.6920379537953796	1.0	0.0	5972.0		1.0	0.6920379537953796		
2	miRDB;miRBind2-UTR	13420;18639	13373	18686	0.7156694851760677	0.9964977645305514	47.0	5266.0		0.9964977645305514		0.7174741134181019	
2	miRDB;miRAW	13420;18669	13117	18972	0.6913873076112166	0.9774217585692996	303.0	5552.0		0.9774217585692996			0.7026086024961166
2	microT-CNN;miRBind2-UTR	19392;18639	18573	19458	0.9545174221399938	0.9964590375020119	819.0	66.0			0.9577660891089109	0.9964590375020119	
2	microT-CNN;miRAW	19392;18669	18596	19465	0.9553557667608528	0.9960897744924742	796.0	73.0			0.9589521452145214		0.9960897744924742
2	miRBind2-UTR;miRAW	18639;18669	18128	19180	0.9451511991657977	0.972584366114062	511.0	541.0				0.972584366114062	0.9710214794579249
3	TargetScan v8;miRDB;microT-CNN	13144;13420;19392	11606	19392	0.5984942244224423	0.8829884357881923			0.8829884357881923	0.8648286140089418	0.5984942244224423		
3	TargetScan v8;miRDB;miRBind2-UTR	13144;13420;18639	11569	18733	0.6175732664282283	0.880173463177115			0.880173463177115	0.8620715350223547		0.6206878051397607	
3	TargetScan v8;miRDB;miRAW	13144;13420;18669	11346	19021	0.5964986068030071	0.8632075471698113			0.8632075471698113	0.8454545454545455			0.60774546038888
3	TargetScan v8;microT-CNN;miRBind2-UTR	13144;19392;18639	13060	19458	0.671189228080995	0.9936092513694461			0.9936092513694461		0.673473597359736	0.700681367026128	
3	TargetScan v8;microT-CNN;miRAW	13144;19392;18669	12835	19465	0.6593886462882096	0.9764911746804625			0.9764911746804625		0.6618708745874587		0.6875033477958112
3	TargetScan v8;miRBind2-UTR;miRAW	13144;18639;18669	12768	19197	0.6651039224878887	0.9713937918441875			0.9713937918441875			0.6850152905198776	0.6839145106861643
3	miRDB;microT-CNN;miRBind2-UTR	13420;19392;18639	13373	19458	0.6872751567478672	0.9964977645305514				0.9964977645305514	0.6896142739273927	0.7174741134181019	
3	miRDB;microT-CNN;miRAW	13420;19392;18669	13117	19465	0.6738761880297971	0.9774217585692996				0.9774217585692996	0.6764129537953796		0.7026086024961166
3	miRDB;miRBind2-UTR;miRAW	13420;18639;18669	13073	19183	0.6814888182244696	0.9741430700447093				0.9741430700447093		0.7013788293363378	0.7002517542450051
3	microT-CNN;miRBind2-UTR;miRAW	19392;18639;18669	18076	19479	0.9279737152831254	0.9697945168732228					0.9321369636963697	0.9697945168732228	0.968236113342975
4	TargetScan v8;miRDB;microT-CNN;miRBind2-UTR	13144;13420;19392;18639	11569	19458	0.5945626477541371	0.880173463177115			0.880173463177115	0.8620715350223547	0.5965862211221122	0.6206878051397607	
4	TargetScan v8;miRDB;microT-CNN;miRAW	13144;13420;19392;18669	11346	19465	0.582892370922168	0.8632075471698113			0.8632075471698113	0.8454545454545455	0.5850866336633663		0.60774546038888
4	TargetScan v8;miRDB;miRBind2-UTR;miRAW	13144;13420;18639;18669	11312	19197	0.589258738344533	0.8606208155812538			0.8606208155812538	0.8429210134128167		0.6068995117763829	0.6059242594675666
4	TargetScan v8;microT-CNN;miRBind2-UTR;miRAW	13144;19392;18639;18669	12768	19479	0.6554751270599106	0.9713937918441875			0.9713937918441875		0.6584158415841584	0.6850152905198776	0.6839145106861643
4	miRDB;microT-CNN;miRBind2-UTR;miRAW	13420;19392;18639;18669	13073	19479	0.67113301504184	0.9741430700447093				0.9741430700447093	0.6741439768976898	0.7013788293363378	0.7002517542450051
5	TargetScan v8;miRDB;microT-CNN;miRBind2-UTR;miRAW	13144;13420;19392;18639;18669	11312	19479	0.5807279634478156	0.8606208155812538			0.8606208155812538	0.8429210134128167	0.5833333333333334	0.6068995117763829	0.6059242594675666
