logFC	logCPM	F	PValue	FDR
ENSG00000165806	-0.670201150407475	5.61137446390997	196.077248817338	6.55115816268395e-08	0.00112670638160016
ENSG00000185896	-0.445236385850593	8.20127581390638	170.70000458896	1.26986167887088e-07	0.00112670638160016
ENSG00000138434	0.430695281580525	7.90863857830548	157.614193013381	1.85466071045295e-07	0.00112670638160016
ENSG00000105976	0.470194020323708	6.83263566691342	116.798982968301	7.57850493081379e-07	0.00345295630910203
ENSG00000110911	-0.4731417059133	5.95071570752244	107.107905142849	1.13231239819255e-06	0.00412727869141183
ENSG00000143469	0.841538857412715	4.18414504734326	100.019821992633	1.55233039061601e-06	0.00471520356149614
ENSG00000171617	0.372588118052961	6.1564968831896	92.8924671624749	2.17793730978345e-06	0.00544677761316612
ENSG00000182934	0.387782510517466	6.50416408546524	87.4495028968605	2.86716024085583e-06	0.00544677761316612
ENSG00000103044	0.600543005554081	5.04014215769346	85.7842879245876	3.12847179427454e-06	0.00544677761316612
ENSG00000107099	-0.650902065322505	3.92448804215994	82.6781680686137	3.69660729896605e-06	0.00544677761316612
ENSG00000186298	-0.344680585123374	7.63451711569342	82.5194748139649	3.72880042613852e-06	0.00544677761316612
ENSG00000088305	0.764598822408728	2.87084935151262	82.4276503667489	3.74774879080742e-06	0.00544677761316612
ENSG00000177728	-0.496212328880078	5.75920743463295	79.7571748046035	4.34736889771971e-06	0.00544677761316612
ENSG00000112195	1.2827988605592	1.88123331881753	79.168320017675	4.49530062276554e-06	0.00544677761316612
ENSG00000172005	-0.682223215018308	3.25440641338211	78.2718487727095	4.73087823137029e-06	0.00544677761316612
ENSG00000166224	-0.322531579088372	6.83900353963639	78.0850359235906	4.78180750675764e-06	0.00544677761316612
ENSG00000157111	0.7691897464553	2.56231545696694	76.123973863297	5.35989877299176e-06	0.00547083496202789
ENSG00000080573	0.751658388324985	3.62271738494698	75.9860889083333	5.40329378965717e-06	0.00547083496202789
ENSG00000050165	0.500366536279785	4.43610901934255	74.0419609656497	6.06718205707742e-06	0.00581970489422295
ENSG00000119820	-0.376997670899145	5.78483687675974	72.5590828750165	6.64009768970922e-06	0.00598319754499959
ENSG00000162073	0.405750951485996	5.40345848533763	71.0175022434271	7.30595292107141e-06	0.00598319754499959
ENSG00000169762	0.532960614269379	3.65477515582251	70.8920806039017	7.36361907132584e-06	0.00598319754499959
ENSG00000073605	-0.502758595137271	4.9146554824805	70.4925093962173	7.55081171659757e-06	0.00598319754499959
ENSG00000007968	0.446620761973402	5.73785003162951	68.6488342717623	8.49239512185635e-06	0.0061945309920765
ENSG00000180398	0.30428548660514	7.19604863597226	68.3971314194114	8.63160537244648e-06	0.0061945309920765
ENSG00000116717	0.444077955560557	5.01785265078614	68.0342112376286	8.83719099006798e-06	0.0061945309920765
ENSG00000148357	0.430930786615907	5.72186139005474	66.935145785654	9.49658282591552e-06	0.00620575064009518
ENSG00000177614	0.635098512398224	3.91846365866587	66.8752738300131	9.53421223169631e-06	0.00620575064009518
ENSG00000125775	-0.638014048842655	4.5463427173661	66.0760526887564	1.00534272434606e-05	0.00631805901765757
