combination_size	predictors	n_predictors	intersection	union	jaccard	overlap_coefficient	only_first	only_second	fraction_intersection_in_targetscan	fraction_intersection_in_mirdb_mirtarget	fraction_intersection_in_microt_cnn	fraction_intersection_in_mirbind2	fraction_intersection_in_miraw
2	TargetScan v8;miRDB	13044;13356	11520	14880	0.7741935483870968	0.8831646734130635	1524.0	1836.0	0.8831646734130635	0.862533692722372			
2	TargetScan v8;microT-CNN	13044;19374	13044	19374	0.6732734592753175	1.0	0.0	6330.0	1.0		0.6732734592753175		
2	TargetScan v8;miRBind2-UTR	13044;18633	12962	18715	0.6925995191023243	0.9937135847899418	82.0	5671.0	0.9937135847899418			0.6956475071110395	
2	TargetScan v8;miRAW	13044;18312	12722	18634	0.682730492647848	0.975314320760503	322.0	5590.0	0.975314320760503				0.6947356924421144
2	miRDB;microT-CNN	13356;19374	13356	19374	0.6893775162589036	1.0	0.0	6018.0		1.0	0.6893775162589036		
2	miRDB;miRBind2-UTR	13356;18633	13310	18679	0.7125649124685476	0.9965558550464211	46.0	5323.0		0.9965558550464211		0.7143240487307465	
2	miRDB;miRAW	13356;18312	13055	18613	0.7013915005641218	0.9774633123689728	301.0	5257.0		0.9774633123689728			0.7129204892966361
2	microT-CNN;miRBind2-UTR	19374;18633	18565	19442	0.9548914720707746	0.9963505608329308	809.0	68.0			0.958243006090637	0.9963505608329308	
2	microT-CNN;miRAW	19374;18312	18254	19432	0.9393783449979416	0.9968326780253386	1120.0	58.0			0.9421905646743057		0.9968326780253386
2	miRBind2-UTR;miRAW	18633;18312	18109	18836	0.961403695052028	0.988914373088685	524.0	203.0				0.9718778511243493	0.988914373088685
3	TargetScan v8;miRDB;microT-CNN	13044;13356;19374	11520	19374	0.5946113347785692	0.8831646734130635			0.8831646734130635	0.862533692722372	0.5946113347785692		
3	TargetScan v8;miRDB;miRBind2-UTR	13044;13356;18633	11485	18726	0.6133183808608352	0.8804814474087703			0.8804814474087703	0.8599131476489967		0.6163795416733752	
3	TargetScan v8;miRDB;miRAW	13044;13356;18312	11262	18677	0.6029876318466563	0.8633854645814167			0.8633854645814167	0.8432165318957772			0.6150065530799476
3	TargetScan v8;microT-CNN;miRBind2-UTR	13044;19374;18633	12962	19442	0.6667009566916984	0.9937135847899418			0.9937135847899418		0.6690409827604006	0.6956475071110395	
3	TargetScan v8;microT-CNN;miRAW	13044;19374;18312	12722	19432	0.6546932894195142	0.975314320760503			0.975314320760503		0.6566532466191803		0.6947356924421144
3	TargetScan v8;miRBind2-UTR;miRAW	13044;18633;18312	12672	18868	0.6716133135467458	0.9714811407543699			0.9714811407543699			0.6800837224279505	0.6920052424639581
3	miRDB;microT-CNN;miRBind2-UTR	13356;19374;18633	13310	19442	0.6846003497582553	0.9965558550464211				0.9965558550464211	0.6870032001651698	0.7143240487307465	
3	miRDB;microT-CNN;miRAW	13356;19374;18312	13055	19432	0.6718299711815562	0.9774633123689728				0.9774633123689728	0.6738412305151233		0.7129204892966361
3	miRDB;miRBind2-UTR;miRAW	13356;18633;18312	13012	18839	0.6906948351823345	0.9742437855645403				0.9742437855645403		0.6983309182632963	0.7105723023154216
3	microT-CNN;miRBind2-UTR;miRAW	19374;18633;18312	18057	19448	0.928475935828877	0.9860747051114024					0.9320222979250542	0.9690871035260022	0.9860747051114024
4	TargetScan v8;miRDB;microT-CNN;miRBind2-UTR	13044;13356;19374;18633	11485	19442	0.5907314062339265	0.8804814474087703			0.8804814474087703	0.8599131476489967	0.5928047899246413	0.6163795416733752	
4	TargetScan v8;miRDB;microT-CNN;miRAW	13044;13356;19374;18312	11262	19432	0.5795594895018527	0.8633854645814167			0.8633854645814167	0.8432165318957772	0.5812945184267575		0.6150065530799476
4	TargetScan v8;miRDB;miRBind2-UTR;miRAW	13044;13356;18633;18312	11230	18868	0.595187619249523	0.8609322293774916			0.8609322293774916	0.8408206049715483		0.6026941447968658	0.6132590650939275
4	TargetScan v8;microT-CNN;miRBind2-UTR;miRAW	13044;19374;18633;18312	12672	19448	0.6515837104072398	0.9714811407543699			0.9714811407543699		0.6540724682564262	0.6800837224279505	0.6920052424639581
4	miRDB;microT-CNN;miRBind2-UTR;miRAW	13356;19374;18633;18312	13012	19448	0.6690662278897573	0.9742437855645403				0.9742437855645403	0.6716217611231547	0.6983309182632963	0.7105723023154216
5	TargetScan v8;miRDB;microT-CNN;miRBind2-UTR;miRAW	13044;13356;19374;18633;18312	11230	19448	0.5774372686137392	0.8609322293774916			0.8609322293774916	0.8408206049715483	0.5796428202745948	0.6026941447968658	0.6132590650939275
