logFC	logCPM	F	PValue	FDR
ENSG00000101076	12.7351939071539	7.06410213170289	2328.15922939959	9.84273709828729e-26	1.56440463440178e-21
ENSG00000151632	12.3726182692705	7.58046826763159	2519.81053138216	2.20092392722256e-25	1.74907424496377e-21
ENSG00000157851	-11.9410933289745	6.33024017663338	1971.96712003885	7.79800293618156e-25	4.13138195558899e-21
ENSG00000198848	13.2272078340165	7.55577393949202	1913.62149428208	1.04989363574571e-24	4.17175236163556e-21
ENSG00000099937	12.5812914854311	6.90999514727133	1806.34045170466	2.10433465045706e-24	6.6892589868729e-21
ENSG00000188488	11.5925203292943	7.34285798220791	2460.10616475731	2.8019631203621e-24	6.96111202439601e-21
ENSG00000170099	10.6963867540742	6.20147178115134	2226.73259479207	3.328515819415e-24	6.96111202439601e-21
ENSG00000229314	12.6451176451826	7.32704012869947	1709.38543362206	3.50376847836719e-24	6.96111202439601e-21
ENSG00000232956	-10.7296111719332	6.00347450060737	1889.36802878556	6.05341426605938e-24	9.89269695827115e-21
ENSG00000171759	12.032942866951	6.36207622321759	1650.68514294495	6.22417073000575e-24	9.89269695827115e-21
ENSG00000169174	10.8655193804736	5.70091612418164	1630.83118038264	8.73001776147436e-24	1.14697549982631e-20
ENSG00000176153	11.5214559332615	6.72911729751358	1834.45954983879	8.75152207683801e-24	1.14697549982631e-20
ENSG00000172482	10.6402889708608	5.47512156476395	1619.28677737953	9.48717426009284e-24	1.14697549982631e-20
ENSG00000187134	12.8435015992289	8.98673413422839	2432.35311127596	1.01029677850562e-23	1.14697549982631e-20
ENSG00000146678	14.3048980002601	8.63382266240199	1571.93996463182	1.11997227234149e-23	1.14745089146493e-20
ENSG00000110651	-12.5268255480508	8.09542618108714	1987.40830001183	1.15510345183333e-23	1.14745089146493e-20
ENSG00000253293	-9.86421831051586	5.01545841330681	1690.61930370257	1.32765688896354e-23	1.24128109371685e-20
ENSG00000151655	12.9828466391809	8.73310578132305	2125.36520088058	1.40580152635932e-23	1.24132274777528e-20
ENSG00000171557	14.2903931079859	7.83446932969605	2210.19035106911	1.81781720342213e-23	1.52065192795744e-20
ENSG00000101194	12.1570267505189	6.48529968940315	1482.02747148943	2.27819747424415e-23	1.78833200490293e-20
ENSG00000118785	12.4127248447758	8.71882100383446	2321.21692758491	2.36283956857692e-23	1.78833200490293e-20
ENSG00000148965	12.2041488769665	6.53346591450656	1467.6193217438	2.55637105667651e-23	1.82969940191222e-20
ENSG00000228278	10.6494277613388	6.67475677976369	2163.31906076532	2.64773412885246e-23	1.82969940191222e-20
ENSG00000130958	10.7376892660687	5.06785575412907	1445.74644799355	3.06312227394421e-23	1.94824085659696e-20
ENSG00000091583	11.8040309281169	9.36313796310977	2475.82538260284	3.06442817509273e-23	1.94824085659696e-20
ENSG00000148584	11.425792225832	6.25943583944604	1460.33711741285	3.26123984017342e-23	1.99362100075832e-20
ENSG00000161944	13.4655108202758	7.00945816094164	2060.28194143224	3.89383921849773e-23	2.13712875381888e-20
ENSG00000145192	12.2947734192722	10.5943114615933	2387.02863769555	4.1192251449537e-23	2.13712875381888e-20
ENSG00000150540	10.6626941153915	4.99266011570507	1408.64602099301	4.18761667422227e-23	2.13712875381888e-20
ENSG00000022267	-10.6641685492958	5.93908842254638	1596.58713243177	4.27170193876325e-23	2.13712875381888e-20
ENSG00000234906	10.3142664121555	6.27562378913675	2035.65928834964	4.29635379046123e-23	2.13712875381888e-20
ENSG00000037280	-10.5947914687148	5.86825963119073	1590.14837089637	4.45017356525998e-23	2.13712875381888e-20
ENSG00000123838	10.5909483172029	5.42633657919868	1415.7624710102	4.73542673409071e-23	2.13712875381888e-20
ENSG00000196136	11.4996138020442	7.00472085805434	1757.24009696577	4.78933491121557e-23	2.13712875381888e-20
ENSG00000090339	13.4494653022983	6.99341577470765	2017.38198073507	4.88993866507657e-23	2.13712875381888e-20
ENSG00000111319	10.3129454879891	5.14819213477578	1410.64525187372	4.93913420857978e-23	2.13712875381888e-20
ENSG00000135744	9.94165000426387	8.45948568209301	2339.93606932199	4.97507008250274e-23	2.13712875381888e-20
ENSG00000171564	13.1246530410723	6.66839196425179	1997.35621934076	5.45425566392958e-23	2.28131419796044e-20
ENSG00000084674	12.9783569116364	11.4591761549038	2306.29634024686	5.79977806592892e-23	2.3563424399685e-20
ENSG00000179761	10.2016441602411	5.95215126988566	1864.26245972956	5.93014329927898e-23	2.3563424399685e-20
ENSG00000091513	11.8945588414121	10.9102090943522	2277.00254192776	6.46956931918824e-23	2.5079837746141e-20
ENSG00000117601	9.91327380700644	6.3663532333157	2140.88615058019	7.16349121233613e-23	2.71086974592549e-20
ENSG00000130294	-10.0274883049125	6.4030169806154	2075.67992738659	7.55631835435502e-23	2.7930261377702e-20
ENSG00000128739	11.6040957842766	5.93321062968603	1330.48462761726	8.30594626945205e-23	3.00033431833343e-20
ENSG00000158874	10.3704237938257	9.04027333607412	2211.33205415218	8.8816883536253e-23	3.13701232650046e-20
ENSG00000138207	11.2672834925809	8.61821790482152	2214.74718901825	9.687771415543e-23	3.34733562779653e-20
ENSG00000167711	10.2004640142236	7.39695173690985	2199.60583641401	1.01028702394361e-22	3.41648977841698e-20
ENSG00000171236	10.2417430590477	6.54792526824612	1992.32012302703	1.19559588147615e-22	3.95891686253791e-20
ENSG00000162267	10.6779185266207	7.26239550200467	2057.13196606144	1.31119181566093e-22	4.2530781057377e-20
ENSG00000108846	10.2977611942987	5.80266475579116	1576.44680136666	1.61515089814029e-22	5.13424167500837e-20
ENSG00000130203	9.20467068155987	10.0427643925354	2073.03402140969	1.69932661696689e-22	5.27387755826398e-20
ENSG00000120708	11.8668553626219	7.36971404771717	1558.54910061153	1.82958263539576e-22	5.27387755826398e-20
ENSG00000106366	12.7079786307748	9.16059731649331	1957.03078441435	1.85016584068902e-22	5.27387755826398e-20
ENSG00000130592	10.0644625770031	5.27282079112186	1408.44772275621	1.85727609565966e-22	5.27387755826398e-20
ENSG00000175899	12.6648890895341	9.86022705464772	2070.6991551244	1.89199052712563e-22	5.27387755826398e-20
ENSG00000108924	7.8978588220501	7.45988546987997	2052.11761013917	1.89667175941288e-22	5.27387755826398e-20
ENSG00000069482	-12.7113428895873	6.30792398828144	1781.74138834028	1.90733418921267e-22	5.27387755826398e-20
ENSG00000196139	11.2879642912344	7.2493848610393	1772.65373442092	1.92453063029641e-22	5.27387755826398e-20
ENSG00000125931	-12.9930482366427	6.58945943040424	1775.58812218991	1.97639013658329e-22	5.32419403912794e-20
ENSG00000090382	11.7143677819475	8.62831968429596	2010.41155212735	2.26867123693264e-22	6.00971010663458e-20
ENSG00000204099	9.70143262134571	5.66358111055369	1731.17869627853	2.48154615426945e-22	6.4261482872575e-20
ENSG00000130303	8.55726663522693	6.24420778925787	2016.35737417728	2.56223470516202e-22	6.4261482872575e-20
