logFC	logCPM	F	PValue	FDR
ENSG00000110108	-2.55800434646168	5.34294998026039	295.719174501221	1.08787426238764e-08	0.00024587046204223
ENSG00000068697	-2.12867974538578	5.93815245439827	241.380010501151	2.87038045087145e-08	0.000324367342850728
ENSG00000167767	-1.73958188018452	6.12508592570416	183.48217142415	1.05223204103705e-07	0.000621648389205939
ENSG00000084463	-1.60843481396518	6.67513216054738	165.74814330784	1.69622314980924e-07	0.000621648389205939
ENSG00000105976	-1.54719024537181	7.50723581024358	164.919031985602	1.73654483225336e-07	0.000621648389205939
ENSG00000004142	-1.60173194788839	6.20626722401105	157.83127984884	2.13281328151066e-07	0.000621648389205939
ENSG00000143641	1.67614612344602	8.32221710075718	156.966341905873	2.18828394000422e-07	0.000621648389205939
ENSG00000138326	1.48720037768223	7.84213954787236	156.780525720132	2.20042790745875e-07	0.000621648389205939
ENSG00000139645	-1.51495924468397	7.04271977026988	140.347925451471	3.68525139353979e-07	0.000925448519393252
ENSG00000162433	-1.60081406088544	6.75999412505162	135.002600088411	4.412312610894e-07	0.000997226773188153
ENSG00000164924	-1.30201181813794	9.37590675345113	126.91009248727	5.87165621915625e-07	0.00119091998612022
ENSG00000175215	-1.69349845398808	5.7015258692636	124.887679676418	6.32318916571952e-07	0.00119091998612022
ENSG00000145623	-1.45360909661874	6.28048437818891	121.432772868197	7.19486445092639e-07	0.00125085485734913
ENSG00000118523	-1.74044504703177	5.6748344501825	118.524427664593	8.04292263361497e-07	0.00129841496030237
ENSG00000167315	-1.60093960242733	5.02915669955588	110.181050050714	1.12359022431613e-06	0.00169295084398459
ENSG00000170876	-1.37366836995555	5.76282595620314	105.986205685698	1.34115678089359e-06	0.00189446777531101
ENSG00000138061	-1.23495600287516	7.00616939457047	99.7539437736717	1.76624961579682e-06	0.00221922120248434
ENSG00000106366	-1.20764200290773	6.48245530551565	99.7390909229281	1.76744310626601e-06	0.00221922120248434
ENSG00000136826	-1.41008967720048	5.0412767043174	96.6883841026838	2.03433666998342e-06	0.0024198970041208
ENSG00000170577	-1.43984323094081	4.74443143303191	92.7349509796067	2.45604928944666e-06	0.00269385988904783
ENSG00000135535	1.4939851411369	6.79227370879702	91.7676687933967	2.57467773160347e-06	0.00269385988904783
ENSG00000069869	-1.45436665575192	4.74917756302717	91.3959168402405	2.62222545723872e-06	0.00269385988904783
ENSG00000168710	-1.18464966633824	6.5879341090977	89.6291258045666	2.86257559512709e-06	0.00274752617319435
ENSG00000159176	-1.30345244129792	6.67025141790651	89.2498499169666	2.91759781233859e-06	0.00274752617319435
ENSG00000058668	-1.22718657565621	6.04710619874326	86.7933742759964	3.30647349546539e-06	0.00289197098740285
ENSG00000165732	-1.25382527516153	8.08840286156402	86.0747982844208	3.43181225499899e-06	0.00289197098740285
ENSG00000179820	-1.66413581795102	5.42732558780527	85.9466463580693	3.45485671695398e-06	0.00289197098740285
ENSG00000213626	-1.46589745431544	4.62176388446907	84.689785003913	3.69006713333846e-06	0.00292407348008845
ENSG00000148175	-1.20029263194076	6.91181826095625	84.3742244783222	3.75196367074753e-06	0.00292407348008845
ENSG00000177119	-1.36566112723797	5.91988868794719	82.977500487344	4.04208521875245e-06	0.00304517226763414
ENSG00000135269	-1.1709748563075	6.41026119092644	80.8291402543076	4.54286772218817e-06	0.00329497398717824
ENSG00000074416	-1.22849913335008	5.72407892071299	80.227698130777	4.69623119642415e-06	0.00329497398717824
ENSG00000119414	-1.49033077578316	5.65643101512589	79.7927310083499	4.81103232498039e-06	0.00329497398717824
ENSG00000267368	4.79364997201787	2.0645014593755	78.3708208357048	5.01212583481712e-06	0.00333173694096182
ENSG00000123094	-1.10214599083771	6.19285282520414	78.5086896391027	5.17013407851237e-06	0.00333857715167023
ENSG00000128567	-1.17470813608821	8.39341632310088	77.9687014458695	5.33072941705129e-06	0.00334666154318823
ENSG00000104635	-1.05934444669683	7.35447257628809	76.9869874669818	5.63836350197153e-06	0.0033468245304029
ENSG00000159840	-1.12175576677993	6.27503510477165	76.5754693210468	5.77365022577948e-06	0.0033468245304029
ENSG00000111670	-1.3038920048639	4.85140804044291	76.5712031652556	5.77523811715026e-06	0.0033468245304029
ENSG00000047644	-1.29917930498132	5.275628539864	74.4405590354683	6.54167078702457e-06	0.00369620753643856
