logFC	logCPM	F	PValue	FDR
ENSG00000164924	-2.61396600291493	9.15656490255894	308.063625515083	1.83782106154408e-09	4.63443337089571e-05
ENSG00000183283	-2.32937735862454	6.33819468002938	252.196737742385	5.37911811811268e-09	6.78226107922238e-05
ENSG00000084090	-2.13417207347803	6.90516355157879	222.17724708173	1.05749554036764e-08	8.88895501381696e-05
ENSG00000116133	-2.1226626112849	7.03600997556692	200.457312345016	1.82551969722093e-08	0.000110050268603363
ENSG00000113552	-2.04164600766851	6.04112906644278	193.809604161702	2.18206504745535e-08	0.000110050268603363
ENSG00000135318	-2.28482018146998	4.68132398445005	180.923779629931	3.13730434891546e-08	0.000117539418546396
ENSG00000173706	-1.98696764364913	7.13317001754615	176.660664844378	3.55650818613391e-08	0.000117539418546396
ENSG00000182199	-2.21088546536449	6.02612451449277	173.634594523302	3.89472041872991e-08	0.000117539418546396
ENSG00000115993	-1.80169790230772	6.16089420056323	165.966658882235	4.93654118712976e-08	0.000117539418546396
ENSG00000167767	-1.76340488720086	6.17202626879951	158.544873989425	6.27228256129489e-08	0.000117539418546396
ENSG00000161203	-1.83182720402177	6.77179266474676	156.897381195986	6.62417052408435e-08	0.000117539418546396
ENSG00000153904	-1.97957206655073	4.9952149391619	156.798058154237	6.64643707069327e-08	0.000117539418546396
ENSG00000152102	-1.76215910015998	6.50856912013032	155.894091346241	6.84988711726003e-08	0.000117539418546396
ENSG00000162695	-1.78118888765228	5.98436488023745	154.653208084836	7.14174294431102e-08	0.000117539418546396
ENSG00000145623	-1.77124894332516	6.25441534937056	153.519500002415	7.4212668772943e-08	0.000117539418546396
ENSG00000155850	-1.94705028611742	6.34203347323386	153.375107362158	7.45778917691376e-08	0.000117539418546396
ENSG00000161714	-1.65878344775563	6.73612479522265	146.766049284405	9.38132529855954e-08	0.000139158164737515
ENSG00000143515	-1.85323167644845	5.43763610978035	143.601161272193	1.05074485943749e-07	0.000146216361594107
ENSG00000108561	-1.71307411749788	7.14857562900236	140.990756894476	1.15569930145571e-07	0.000146216361594107
ENSG00000106366	-1.74436901401529	6.39257369087987	140.387881666395	1.1816800088966e-07	0.000146216361594107
ENSG00000116199	-1.67758153449501	5.81355099359749	139.425695677485	1.22458715892879e-07	0.000146216361594107
ENSG00000117632	-1.68668397168512	6.3707017205091	138.331414931118	1.27563150060291e-07	0.000146216361594107
ENSG00000103257	-1.7862281626081	10.2647891542664	130.409644451749	1.73045976213323e-07	0.000189726103572668
ENSG00000198380	-1.5973646585531	6.15493051369715	129.24082559295	1.81272802953466e-07	0.000190464844669898
ENSG00000135074	-2.0757060289637	4.7789385329046	127.528359120055	1.94186509276337e-07	0.000195872048176856
ENSG00000112419	-1.58405308155944	5.82765819039368	124.414228781652	2.20523802064469e-07	0.00021388264294845
ENSG00000173852	-1.68654115834066	6.30080625470781	123.160211661664	2.32311356621926e-07	0.000216970202960559
ENSG00000110092	-2.03846362193204	8.10804166471436	116.275327675927	3.12000762761158e-07	0.000280990115519576
ENSG00000169499	-1.53334521436576	6.77385840859677	114.95248210448	3.30798467753645e-07	0.000282988642192714
ENSG00000113083	-1.85475532584682	6.31009717953638	114.55779559799	3.36664126017425e-07	0.000282988642192714
ENSG00000105849	-1.74360942152639	4.81328013416782	113.321566912839	3.55859344005552e-07	0.000289474357348
ENSG00000139211	-1.55358537168216	5.33432650959271	112.349287152229	3.71851678943572e-07	0.00029111867510651
ENSG00000105810	-1.52969160813338	7.45911495165905	111.668834178726	3.83540359556885e-07	0.00029111867510651
ENSG00000137642	-1.74591886059854	5.18263839437016	111.164068161989	3.92514373383881e-07	0.00029111867510651
