logFC	logCPM	F	PValue	FDR
ENSG00000138623	-1.67134963536287	7.231975005568	1920.30767546559	2.22819938215598e-15	3.92447731177286e-11
ENSG00000125844	-1.57661286832183	7.73125096398622	1753.19685667715	3.98484775526513e-15	3.92447731177286e-11
ENSG00000163661	2.14610121299399	7.5653855400112	1457.66776175733	1.2936150246635e-14	8.49344504693232e-11
ENSG00000125538	-1.15367459213634	10.2625612871433	1220.27665965578	4.01341487103649e-14	1.97630581787014e-10
ENSG00000170054	-2.35242984878794	4.69715385317361	1039.6150411667	1.1118462579952e-13	3.7061469604002e-10
ENSG00000100292	-1.58103676834626	7.44105942018205	1015.25654008917	1.29244041410264e-13	3.7061469604002e-10
ENSG00000122861	-1.25554396704034	6.8828890671258	1008.35326532094	1.3496786440098e-13	3.7061469604002e-10
ENSG00000124875	-0.990542786692489	9.27992672039768	991.177501723414	1.50526352658789e-13	3.7061469604002e-10
ENSG00000078369	-1.05521433428801	7.73243401825916	919.082451457276	2.43092448619455e-13	4.84623331297741e-10
ENSG00000163814	-0.905762440942831	9.62450294180272	917.338444330999	2.46039158906301e-13	4.84623331297741e-10
ENSG00000119922	1.1774397768943	10.1181506676143	894.324218433442	2.89063504076939e-13	4.91923029746928e-10
ENSG00000198959	0.924655207753963	10.0330988014885	889.245245703581	2.99694184747075e-13	4.91923029746928e-10
ENSG00000168062	1.71715113464307	5.29126676251286	851.315114600786	3.95089563667393e-13	5.98621471965896e-10
ENSG00000099194	1.21449552252526	7.29557543230984	825.108350535772	4.81646159103569e-13	6.77641742561642e-10
ENSG00000164125	0.987135010687138	6.94753244284103	709.409725032182	1.25283863483443e-12	1.63811384429751e-09
ENSG00000271503	-1.10214613083424	9.30837400588194	702.677489126824	1.33065042944409e-12	1.63811384429751e-09
ENSG00000085063	-0.870380972080252	8.40066182041573	671.682103207446	1.76936628871758e-12	2.05007104640413e-09
ENSG00000275023	-1.08605222628696	6.27639931803377	654.127289479679	2.09132800754158e-12	2.28849376469703e-09
ENSG00000131389	-1.06167135007459	6.34862810597882	610.866923884072	3.21988972618567e-12	3.18389430947493e-09
ENSG00000164342	1.12251834916323	5.69279258962182	610.477369169305	3.23287232520174e-12	3.18389430947493e-09
ENSG00000125968	0.949552293775008	6.78426379895203	573.14950459895	4.81051125800239e-12	4.46850313178731e-09
ENSG00000182179	0.980290808188549	6.63587147755665	568.088132595359	5.08673417741249e-12	4.46850313178731e-09
ENSG00000115053	-1.00168414792532	7.08988775852464	563.969370236161	5.32509501036290e-12	4.46850313178731e-09
ENSG00000172057	-1.42614087414234	4.8459230677838	561.983823256107	5.44469082413035e-12	4.46850313178731e-09
ENSG00000124882	-1.01120977805048	8.41985608341466	548.104324098411	6.37218364523063e-12	4.99742945957937e-09
ENSG00000107798	0.945583574829467	6.69771671511257	542.709571041484	6.78113905056758e-12	4.99742945957937e-09
ENSG00000106484	1.65336235782075	5.08644920444529	541.59898327928	6.86915634628684e-12	4.99742945957937e-09
ENSG00000117450	-0.763683553466659	7.66034182662446	538.413851518177	7.12855469719399e-12	4.99742945957937e-09
ENSG00000086598	-0.999850053122275	7.35860161243971	535.710411027841	7.3577425154999e-12	4.99742945957937e-09
ENSG00000123342	-1.71200265882832	5.49596865256079	523.353324921508	8.52004926186913e-12	5.59398034370121e-09
ENSG00000169429	-0.995576392386706	10.6036063900159	518.072846859327	9.08041833133728e-12	5.76958064104356e-09
ENSG00000197457	3.57096937461091	2.63871989859161	508.29118713642	1.02894968717121e-11	6.1465915856047e-09
ENSG00000133657	-0.668174941675256	10.2198688642683	507.796639429004	1.02978891366683e-11	6.1465915856047e-09
ENSG00000133805	-1.3279837528186	6.52129019977647	503.016742474352	1.09278447959674e-11	6.33075761606382e-09
ENSG00000157593	-1.12781610747374	5.807654176285	483.14495605843	1.40723143149139e-11	7.7021122375326e-09
ENSG00000162368	-1.05461012536474	5.98217171323103	482.544780016111	1.41824242151505e-11	7.7021122375326e-09
ENSG00000132274	0.67882170074575	8.86906225952995	481.012404145079	1.44680993445046e-11	7.7021122375326e-09
ENSG00000196141	0.778316126922403	6.88801192059718	472.166329842329	1.62535696974494e-11	8.42490953501738e-09
ENSG00000138035	0.814899933192938	6.88711523830648	469.209879748671	1.69061554486708e-11	8.53847548390945e-09
ENSG00000113594	0.847641714948686	6.91648898074435	466.209718881802	1.75995447517808e-11	8.66645582439565e-09
ENSG00000163171	0.918357708886873	6.36268104899256	455.76525347138	2.02833433113594e-11	9.74441495619137e-09
ENSG00000165434	-1.60562124179434	4.11351713876904	446.482064779961	2.30741369502086e-11	1.08212208454347e-08
ENSG00000205542	0.627625669489205	9.25307970930402	443.696197625059	2.39939610356641e-11	1.08600106471976e-08
ENSG00000168961	1.02634883364391	6.24835097721018	441.459565055689	2.4764882192357e-11	1.08600106471976e-08
ENSG00000132256	0.864495515152997	6.47893203483931	441.32852909205	2.4810909231045e-11	1.08600106471976e-08
ENSG00000166923	-0.813456958587299	9.62224047221475	434.364622069164	2.7406460631523e-11	1.17353272838937e-08
ENSG00000140873	-1.93922109952259	3.722955838041	432.044776997059	2.83430102890346e-11	1.17789765175455e-08
ENSG00000084093	-0.960349305997337	6.61342377478897	431.162580199706	2.87044155375024e-11	1.17789765175455e-08
ENSG00000134531	-0.824620692673732	7.71911780954626	425.894616102251	3.09975319960635e-11	1.24603752597237e-08
ENSG00000221963	0.661964187499582	7.84111936076823	420.172769324831	3.37318230439449e-11	1.32883143699316e-08
ENSG00000122643	1.24830316478758	5.54211209950939	401.856388346485	4.45575358895281e-11	1.68019667634769e-08
ENSG00000115159	0.919842856003002	5.99455827626823	401.222385493254	4.49986047267823e-11	1.68019667634769e-08
ENSG00000160767	-1.12835923026942	5.3656227892867	399.269121823918	4.63901627441887e-11	1.68019667634769e-08
ENSG00000058085	-0.801057219863965	6.80913136759242	397.509617495051	4.76859971614276e-11	1.68019667634769e-08
ENSG00000198732	-0.820213903492902	6.0440341527999	397.43649998637	4.77408164350579e-11	1.68019667634769e-08
ENSG00000152377	-0.72074135888697	7.79703206273788	397.398511584706	4.77692104764537e-11	1.68019667634769e-08
ENSG00000137752	1.38655586248336	4.7633184117248	395.661544494321	4.90939731843e-11	1.69649822773887e-08
ENSG00000157227	-0.619846993534141	11.1962718907013	393.949726905976	5.04383961753096e-11	1.71290532666392e-08
ENSG00000214814	-1.24704677658382	6.08752019625628	390.437795531856	5.33353330066411e-11	1.78058653259629e-08
ENSG00000166741	1.21032092404043	6.13956104997631	371.614904133633	7.25639589033791e-11	2.38215383086643e-08
ENSG00000113300	-0.783804020298734	6.02407004530957	368.186501653856	7.68739054237391e-11	2.48227100841211e-08
ENSG00000111331	0.614446904027845	9.57912958252338	362.493761174687	8.47012466633295e-11	2.59910530441151e-08
ENSG00000108821	0.564481380686269	11.5371173193271	362.376000694658	8.48726311569191e-11	2.59910530441151e-08
ENSG00000170677	0.846521268567734	6.9446663202621	362.255237033856	8.50488537544735e-11	2.59910530441151e-08
ENSG00000113657	0.931270279958558	7.06652156067654	361.763662429047	8.57703430912058e-11	2.59910530441151e-08
ENSG00000156587	0.670599755378814	7.94001393994697	358.956793845425	9.00280913781498e-11	2.68679290284154e-08
ENSG00000106683	-0.70335011773028	7.43826588648909	350.224660207557	1.04922783027578e-10	3.08457321984209e-08
