logFC	logCPM	F	PValue	FDR
ENSG00000213465	-2.45546760786984	3.72333928993686	104.081164655486	3.77129384194966e-08	0.000510410058121457
ENSG00000214160	-2.04831284935444	5.62034655560957	101.651384916308	4.40673479923555e-08	0.000510410058121457
ENSG00000131238	-2.08509387791366	6.90070382536079	92.0622016192886	8.44280948547467e-08	0.000555492534885897
ENSG00000139645	-1.84106499136822	6.98191079014862	86.1699179944051	1.29711235804552e-07	0.000555492534885897
ENSG00000115758	-2.0195581196664	7.52991064873167	85.7852163975193	1.33515711905671e-07	0.000555492534885897
ENSG00000254692	-3.10106255075308	3.13559323080008	84.8254354840455	1.438789211878e-07	0.000555492534885897
ENSG00000112576	-1.78144241545987	5.73443724443075	77.6561408950367	2.5282817955915e-07	0.000742087545987535
ENSG00000110108	-1.69782333535159	5.52212436599305	76.5479317451225	2.77027588753654e-07	0.000742087545987535
ENSG00000125657	-1.82098411932843	4.56987555872036	75.8729557594819	2.93070018425955e-07	0.000742087545987535
ENSG00000138685	-1.81613175886939	6.81113782551939	73.6377887039664	3.54093374294987e-07	0.000742087545987535
ENSG00000100568	-1.73876193915871	4.49756028979873	73.34843737738	3.63042342921833e-07	0.000742087545987535
ENSG00000011009	-1.74617840432052	5.18537835253579	72.5281205766417	3.89692394522234e-07	0.000742087545987535
ENSG00000225108	-9.36985816211917	1.70951579326077	78.0679030628543	4.16453187905805e-07	0.000742087545987535
ENSG00000109586	-1.76745605472619	6.54099561072535	66.8473899889346	6.49144504103598e-07	0.00105168998001197
ENSG00000113643	-1.60078890570871	6.52148636261716	66.3337140665438	6.8099933952858e-07	0.00105168998001197
ENSG00000288534	-9.27050012180606	1.61020506978814	68.4491920757046	9.11069848125103e-07	0.00131905831448863
ENSG00000204370	1.81474517314273	4.17118620561223	62.4047235407243	9.92888567024725e-07	0.00135295668559575
ENSG00000160767	-1.7621801901926	4.94041719841867	61.7243109322924	1.06184935790807e-06	0.00136654113199669
ENSG00000267368	4.73875874025018	2.02133021335576	59.2277423727713	1.21311819947302e-06	0.00144714877774912
ENSG00000244687	-1.51152650204404	5.85162008272367	59.9466749554021	1.26942738631671e-06	0.00144714877774912
ENSG00000163346	1.60496265557625	4.63548579593136	59.6065090954716	1.31425994199045e-06	0.00144714877774912
ENSG00000198925	-1.67789702445343	5.84619452402066	58.7742176905215	1.43150187842043e-06	0.00144714877774912
ENSG00000204619	-1.55099873545875	4.45811089120487	58.3819243227134	1.49096254157502e-06	0.00144714877774912
