logFC	logCPM	F	PValue	FDR
ENSG00000158710	-2.7261209585732	7.81732630576961	406.715806362389	1.65739402483082e-08	0.000349063755569619
ENSG00000087086	-2.63402618665679	10.0281000277388	330.327921078875	3.95873632834519e-08	0.00041687472905639
ENSG00000170540	-2.42398205510794	6.86988417981491	268.904686803101	9.32710921753366e-08	0.000625478371965422
ENSG00000136026	-1.97486065794153	6.09877447187908	241.157390307843	1.46539721813078e-07	0.000625478371965422
ENSG00000148175	-1.93041627556392	6.67367264396336	240.385309164248	1.48492087736912e-07	0.000625478371965422
ENSG00000106366	-1.78763884635288	6.2778809267793	209.001195741282	2.64683383236925e-07	0.000929082789058814
ENSG00000091317	-2.04780850137064	5.07223587894238	172.072700681132	5.88174279635195e-07	0.00153667977395307
ENSG00000143418	-1.91573062092258	6.53428036897373	170.13561404889	6.15993186205957e-07	0.00153667977395307
ENSG00000064666	-2.00149410380463	5.912234304025	167.496137994856	6.56669577207998e-07	0.00153667977395307
ENSG00000118523	-1.97220345275117	5.57444556071655	155.181910856878	8.96635374991714e-07	0.00157208103293139
ENSG00000143641	1.74318459954763	8.31883873905958	150.760519782263	1.00849031373105e-06	0.00157208103293139
ENSG00000066117	-1.52444879928373	5.99945298338083	149.849762553417	1.03364839836339e-06	0.00157208103293139
ENSG00000184743	1.44667134946439	6.70904329393385	149.47617111619	1.04418444052347e-06	0.00157208103293139
ENSG00000011304	-1.48076878865659	8.04886186515129	149.446744669086	1.04501849204878e-06	0.00157208103293139
ENSG00000138829	-1.46462430022606	7.23713132771596	137.551601742438	1.46291290031881e-06	0.0020540272395743
ENSG00000122705	-1.62083736879687	6.59361046912914	133.449365293345	1.65345912025029e-06	0.00206114837542129
ENSG00000119314	-1.72246336490796	6.59348992676808	133.245281270948	1.66371598604824e-06	0.00206114837542129
ENSG00000138326	2.02878520472362	8.20450396532251	126.504119003291	2.05137373792705e-06	0.0022102222312718
ENSG00000005884	-1.66514932130745	7.34495079608277	126.259463412081	2.06743504507423e-06	0.0022102222312718
ENSG00000226608	-2.74282408971031	4.34050137456854	125.797387579511	2.09887681617378e-06	0.0022102222312718
ENSG00000130508	-1.46451856010569	8.19694330989044	123.427217541221	2.26514182142008e-06	0.00227172151909182
ENSG00000110880	-1.42009510980862	6.13433680523999	119.480067876384	2.58123932918944e-06	0.00247106734145722
ENSG00000184185	-1.73449254280161	4.62517296596429	115.287368918523	2.97911747510958e-06	0.00257315491493201
ENSG00000162704	-1.67793069520022	6.17401508819343	113.589158338767	3.16125905436575e-06	0.00257315491493201
ENSG00000167460	-1.96195274454269	8.76462072290868	113.504501290016	3.17069082933404e-06	0.00257315491493201
ENSG00000085719	-1.48698462813929	5.70578459315656	110.827443596128	3.48840443353995e-06	0.00257315491493201
ENSG00000164023	-1.5904965643312	5.16948630969294	109.724460194937	3.63066190948808e-06	0.00257315491493201
ENSG00000084207	-1.51350964071575	6.91070936667461	108.993481880242	3.72870122620029e-06	0.00257315491493201
ENSG00000126261	-1.2792487292318	6.62848156090642	108.859500512905	3.74705593079219e-06	0.00257315491493201
ENSG00000204370	1.9092419346576	4.16742532115711	108.643245520769	3.77758129092447e-06	0.00257315491493201
ENSG00000158290	-1.36732898251537	6.51837181414538	107.256341228259	3.97555859156928e-06	0.00257315491493201
ENSG00000165169	-1.80509589301785	5.04928889207677	106.082183477191	4.15415708513694e-06	0.00257315491493201
ENSG00000105974	-1.23735793289156	6.40226298263988	105.250580458607	4.28619473112074e-06	0.00257315491493201
ENSG00000111269	-1.82892990916736	3.90706871439706	105.223733523176	4.29154837451322e-06	0.00257315491493201
ENSG00000106803	-1.90699622413421	4.15072868526755	104.530026805215	4.40588531721286e-06	0.00257315491493201
ENSG00000147065	-1.44691468876775	9.18894112866486	103.540074229363	4.5750601159251e-06	0.00257315491493201
ENSG00000138594	-1.33353661467905	6.93576820967743	103.398800803595	4.59998355178579e-06	0.00257315491493201
ENSG00000158195	-1.22812882220548	6.79253893323593	103.158808963394	4.64269914854072e-06	0.00257315491493201
ENSG00000179855	-2.00979935535547	3.61272311553779	101.37740986959	4.97743131075921e-06	0.00268794053425384
ENSG00000108821	-1.43260090184679	5.80941191892101	98.8897495431056	5.4913712033138e-06	0.0028913442228248
ENSG00000148943	-1.16393932383354	7.10203585335415	97.9151262594866	5.71108888478155e-06	0.00290590086490744
ENSG00000166147	-1.21174841952826	7.83150453725263	97.4683186034169	5.81552082238945e-06	0.00290590086490744
ENSG00000162695	-1.26261469777403	6.01413329246638	96.977716926066	5.93294417126536e-06	0.00290590086490744
ENSG00000152952	-1.40988063137813	6.84411539373393	94.4056495340991	6.59860257161413e-06	0.00313989933973881
ENSG00000075618	-1.31367395392751	7.9697622569141	94.0105182838786	6.7088680636364e-06	0.00313989933973881
ENSG00000169230	-1.41750103177107	4.8287525053627	89.6542927744146	8.08970578794866e-06	0.00370385420869536
ENSG00000169967	-1.31932600319641	6.65172509965928	87.398137496815	8.94214509993383e-06	0.00400703229680226
ENSG00000104549	-1.24750128089344	5.65578115092664	86.834705841039	9.17246699520219e-06	0.00402461098720736
ENSG00000149257	-1.37148898956644	6.50756291385083	84.9892753199005	9.97869090253096e-06	0.0042890042673103
ENSG00000131236	-1.06074227202842	7.01953439785478	83.3711167607692	1.07589669627493e-05	0.00453189206404924
ENSG00000134970	1.2780571767638	6.50417559358917	82.922834534503	1.09883430821429e-05	0.00453775477751003
ENSG00000225108	-9.25251112215207	1.68541108984406	103.342664399989	1.13906424232097e-05	0.00461342923221574
ENSG00000029993	1.46760702233704	5.38480951453978	78.9506455585956	1.33095180854201e-05	0.00524476377738466
ENSG00000162368	-1.06026197173019	6.6157009436445	78.5847927555456	1.35520323072721e-05	0.00524476377738466
ENSG00000134109	-1.14467801159471	5.82274186501276	77.7745067956817	1.41098993202028e-05	0.00524476377738466
ENSG00000114450	-1.03386730541107	6.42932030803889	77.5108936862328	1.42974249832902e-05	0.00524476377738466
ENSG00000066044	-1.24263984052503	5.41200498816779	77.4646777649659	1.43310460835705e-05	0.00524476377738466
ENSG00000106799	-1.44572971001347	4.41497569938051	77.3100724273261	1.44435828824989e-05	0.00524476377738466
ENSG00000118985	-1.19186459098634	6.48056246730813	75.8556059739034	1.55482299739725e-05	0.00547845505409137
ENSG00000176678	-1.53816523656907	4.47198926608242	75.2441333882151	1.60453657264763e-05	0.00547845505409137
ENSG00000135919	-1.00383503954406	7.23207704891324	75.0121224292996	1.62375059375709e-05	0.00547845505409137
ENSG00000136295	-1.66419291389012	5.43986088424888	74.7767645376722	1.64370835244478e-05	0.00547845505409137
ENSG00000169710	-1.2521127532616	9.14071592844022	74.5285327443351	1.66497172569964e-05	0.00547845505409137
ENSG00000137713	-1.60911882688575	4.54580455160023	74.482636985511	1.66906871074852e-05	0.00547845505409137
ENSG00000183853	-1.04187561907054	6.92594641339106	74.097124732275	1.7028421659748e-05	0.00547845505409137
ENSG00000173402	1.21655824734771	6.71433840010129	73.9409522889876	1.71681322620023e-05	0.00547845505409137
ENSG00000260342	-9.14340353497263	1.58042817651887	91.3690310188315	1.75925776116729e-05	0.00553010861312601
ENSG00000110536	-1.36085411278655	4.71733373830503	73.0677626077489	1.79768345032864e-05	0.00553413130419173
ENSG00000116095	-1.26617722037609	5.2481530311711	72.665725894011	1.83640654446652e-05	0.00553413130419173
ENSG00000285517	-1.31129906109176	5.13058225268726	72.6354930578751	1.8393675100585e-05	0.00553413130419173
ENSG00000084652	-1.18860088083073	6.85468821139571	70.8967468502552	2.01968800250958e-05	0.0059910773268809
ENSG00000166750	-1.349662814675	4.5252137671201	69.0537222190704	2.23548767379845e-05	0.00653911193025961
ENSG00000146376	-1.4043694952914	5.00390454353742	67.9236506167233	2.38180441989008e-05	0.00687166888867193
ENSG00000139645	-0.969582506781413	7.15127170060242	66.554900698962	2.57519073913509e-05	0.00732920164282757
ENSG00000177606	-1.20557346709358	5.49724370627838	66.1525322482427	2.63579371314778e-05	0.00740166018568071
ENSG00000256500	2.00013620825695	2.80811172124665	65.3615696315055	2.76194211478733e-05	0.00765385037888631
ENSG00000183775	-1.71325650774412	3.52197649975878	65.076461620567	2.80717326785923e-05	0.00767816573953029
ENSG00000124831	-1.36636873259411	6.48808695995012	64.2012859719412	2.95547134648578e-05	0.00798015154209448
ENSG00000148730	1.0169512555967	6.66064195966908	62.8161337216292	3.21183832044442e-05	0.00854370621283829
ENSG00000074842	-1.85028180153476	4.93748916280244	62.4034578344455	3.29365256831891e-05	0.00854370621283829
ENSG00000013306	-0.916789421201704	6.6054009710151	62.2176443908573	3.33107112127926e-05	0.00854370621283829
ENSG00000136261	0.978351998783446	6.05898913374514	62.0956181525616	3.35605233431822e-05	0.00854370621283829
ENSG00000197860	-1.34445801639094	4.37284454871306	61.9408711323021	3.38830321834914e-05	0.00854370621283829
ENSG00000169499	-0.950827318450425	6.84095147382935	61.847338016833	3.40758426417747e-05	0.00854370621283829
ENSG00000126821	-1.90714492755987	3.45421913686454	61.5758893044062	3.4661514165688e-05	0.00858830764521828
ENSG00000155850	-1.01595668259601	6.48362754065766	61.3175810004538	3.5208571886256e-05	0.00862241549414463
ENSG00000161203	-0.976356496260714	6.90143785829713	58.9748136432347	4.08122544712705e-05	0.00987984932666008
