logFC	logCPM	F	PValue	FDR
ENSG00000158710	-3.13805754850746	7.77425849380121	210.831416209296	1.22825118596222e-09	2.11005935108195e-05
ENSG00000277053	10.7744730634961	3.05145305327036	231.100759412093	1.9064504436953e-09	2.11005935108195e-05
ENSG00000151239	-3.03527963347002	6.17592395806196	159.210006437013	7.26303934938249e-09	5.35915463459769e-05
ENSG00000152332	-2.28453468456901	7.26213057056629	148.930523006839	1.10243518097812e-08	6.10087629153289e-05
ENSG00000100234	-2.05049803066298	5.65420121195435	139.649538614174	1.64521712277113e-08	7.28370524593234e-05
ENSG00000070214	-2.5236418992335	5.01807140782775	130.797473658693	2.46745999919897e-08	9.02732673238262e-05
ENSG00000198618	-2.09440722780682	6.12721430867087	127.73921291213	2.85468409498908e-08	9.02732673238262e-05
ENSG00000168374	-1.94859233897447	6.60307939278989	116.885578470204	4.92108760246163e-08	0.000136166493960113
ENSG00000105976	-1.88633692214167	7.37884530760105	110.278228088913	7.01400480239551e-08	0.000148741312109817
ENSG00000160211	-1.80900418329238	6.91523724920856	110.04682434209	7.10404219769374e-08	0.000148741312109817
ENSG00000134308	-2.18895269466054	7.76410113611804	109.330219431757	7.39137347853263e-08	0.000148741312109817
ENSG00000131236	-1.85807717561762	6.81068329990357	103.473710587122	1.03128237585027e-07	0.000189665974048728
ENSG00000002834	-1.67891663843023	6.44196828255054	102.15979577515	1.11386775507475e-07	0.000189665974048728
ENSG00000138326	1.6808823634285	7.93842434436987	100.004743433145	1.26632464593321e-07	0.000200224016874125
ENSG00000205542	-1.78535868353682	8.69965071196051	96.3336043309991	1.58473480985967e-07	0.000221080786707909
ENSG00000124145	-2.13423952074816	4.43046610069815	95.3083355256216	1.68967550558697e-07	0.000221080786707909
ENSG00000074181	-2.07372690232483	5.76923495927296	95.2298490426499	1.6978556984254e-07	0.000221080786707909
ENSG00000205765	-1.72166261326049	6.735603960696	91.33296567939	2.17807394062398e-07	0.000262466516938018
ENSG00000110880	-1.61739784633483	6.08700736734313	90.8160520567165	2.25282969905238e-07	0.000262466516938018
ENSG00000120742	-1.77318844411743	4.57870388625998	89.066010325741	2.52886039059965e-07	0.000273543707664759
ENSG00000204370	2.21446324869847	4.42430749803632	88.6795582789261	2.59505685804117e-07	0.000273543707664759
ENSG00000163683	-2.48381941375898	3.19409149799473	87.9393229144521	2.7288550388469e-07	0.000274572432454159
ENSG00000167601	-1.49075456721866	7.15580767991038	86.2378689039624	3.06068066217224e-07	0.000289911201800489
ENSG00000196517	-1.72749810423524	4.8220584078845	85.8507330457354	3.14323673798867e-07	0.000289911201800489
ENSG00000141052	-1.84602721565561	3.91026499287763	82.4000171063635	4.00229416980905e-07	0.000354379134971572
ENSG00000152661	-2.24204639042998	3.8680863658	81.6625145273278	4.21943500016567e-07	0.000359236204475644
ENSG00000175970	-1.72521232172898	4.35882733181707	80.5021355784033	4.58779026019586e-07	0.000376130834072947
ENSG00000163814	-2.00825507414095	4.90363089563259	79.5463049704967	4.91949149857576e-07	0.000380913056676306
ENSG00000143641	1.57053845203158	8.19412471365949	79.3512862751229	4.99027766697365e-07	0.000380913056676306
ENSG00000115762	-1.53269254141606	5.58146475184709	78.6892140162988	5.24058601354282e-07	0.00038668537331928
ENSG00000174099	-2.29419643986586	3.29009159301613	77.3766390912865	5.78325382485866e-07	0.000411803241917711
ENSG00000145012	-1.58062807465578	6.75341484443021	76.9681183798696	5.96110574531028e-07	0.000411803241917711
ENSG00000168000	-1.77433579631128	4.37161553747289	76.5810109078006	6.13909784210538e-07	0.000411803241917711
ENSG00000134287	-1.42004719909535	7.05459622761645	74.2152755594074	7.36391097113124e-07	0.000479433921344003
ENSG00000163430	-1.51899928868031	6.52355380014004	73.1043975086159	8.03480827565585e-07	0.000508167188542623
ENSG00000187514	-1.67253587769043	8.84273493287193	72.4442642607304	8.46662898130731e-07	0.000520603608695052
ENSG00000136240	-1.5020018626967	7.45826937305877	71.8853193499908	8.85319856282977e-07	0.000529660549694054
ENSG00000167106	-1.45720910344825	5.52850193168347	70.6081062682377	9.81528691795169e-07	0.000556378486320717
ENSG00000183741	-1.39642191192244	5.92684544140131	70.5421936775471	9.8679030577064e-07	0.000556378486320717
ENSG00000107854	-1.50677058568581	5.65708496366578	70.3135382066368	1.00538215815092e-06	0.000556378486320717
ENSG00000029993	1.45354667968968	5.38257804576269	69.474852882981	1.07703400567633e-06	0.000581493286576858
ENSG00000150593	-1.3909091112136	5.25069762399263	69.1319480117957	1.10800363374105e-06	0.000583970677059328
ENSG00000205060	-1.49039307603672	5.30542105727421	67.3940678121645	1.28158271306771e-06	0.00065125400843413
ENSG00000117519	-1.68728958995227	4.27337044836692	67.2764688661196	1.29450561849935e-06	0.00065125400843413
ENSG00000134970	1.52265061622789	6.68798482521064	64.590967505737	1.63171774924231e-06	0.000802660091049504
ENSG00000169299	-1.63154096710233	3.9848402518848	63.2146207795448	1.84336580885855e-06	0.000887059685758541
ENSG00000231991	-1.69912667574947	4.33391332917599	62.9405233440961	1.88910006635631e-06	0.000889725937635388
ENSG00000143401	-1.54327644796376	6.48361351094233	62.2993008662404	2.00121132778829e-06	0.000912658579422969
ENSG00000182718	-1.50342395378871	8.65369167617289	62.194645858774	2.02025074050079e-06	0.000912658579422969
ENSG00000196236	-1.3510876516988	4.68804233313346	59.7042503207093	2.54122809806664e-06	0.00112505250357606
ENSG00000185839	1.96646853695171	3.04171319260703	59.28149334663	2.64545144946538e-06	0.00114822967226207
ENSG00000072803	1.28217759615987	6.1473176019759	58.6332420153678	2.8114446052885e-06	0.00115403645339539
ENSG00000196262	-1.30678642349712	8.85331084149636	58.62933260049	2.81248310938362e-06	0.00115403645339539
ENSG00000137801	-1.40302294710342	7.35128595475082	58.619067227849	2.8152316806718e-06	0.00115403645339539
ENSG00000132475	-1.26906791473339	7.25716859760614	57.9450734467175	3.00255298966912e-06	0.00120844569053301
ENSG00000100075	-1.30453168801518	4.85710597609037	57.5242734775732	3.12683975205205e-06	0.00123599508484686
ENSG00000111412	-1.441975641105	4.84302328801938	56.293863262289	3.5252983334889e-06	0.00136905270017737
ENSG00000143157	-1.30819761199479	5.97132297845301	55.9110629402263	3.66081192939667e-06	0.0013896878534021
ENSG00000111786	-1.37636903965526	4.4422113925168	55.7931608348185	3.70399274262396e-06	0.0013896878534021
ENSG00000115159	-1.24642951809118	6.39266785521437	55.052682762417	3.98730282999067e-06	0.00145239094890259
ENSG00000206075	-1.40471103732685	6.28716968869476	55.0151102730623	4.00234224263904e-06	0.00145239094890259
ENSG00000137509	-1.32389106773238	4.93146607005027	54.6403449355009	4.15605060355681e-06	0.00148384413161828
ENSG00000101158	-1.29758025265055	6.00385631619273	54.4694130473541	4.2282597167651e-06	0.00148566281095734
ENSG00000171310	-1.46396853413285	4.08647708042093	54.2340425012354	4.33055242822736e-06	0.00149782982111314
ENSG00000164144	-1.44245937386602	4.00657086165041	53.9512064299195	4.45682802570945e-06	0.0015177899258016
ENSG00000130589	-1.53372285071957	3.6936652145926	52.7639820947594	5.035235085459e-06	0.00168878733108667
ENSG00000160710	-1.25604991667776	7.28029060267031	52.2831802188303	5.29292826447126e-06	0.00174872029943785
ENSG00000147533	-1.28201614145103	5.05250542371136	51.7717408604642	5.58469125753669e-06	0.00181798125995341
ENSG00000101052	-1.83168047380067	3.15927176593462	50.9949753421963	6.06533828209289e-06	0.0018959374648007
ENSG00000058668	-1.15763158021659	6.01987443378039	50.8722210255727	6.1434802224778e-06	0.0018959374648007
ENSG00000074696	-1.2004237219452	5.86346875403406	50.8501390100895	6.15799084959905e-06	0.0018959374648007
ENSG00000171365	-1.3049537509997	4.45078499207247	50.8372854869493	6.16676443195023e-06	0.0018959374648007
ENSG00000197045	-1.23313709186289	5.75636561369486	50.4782997512266	6.40836485439272e-06	0.00194322690981969
ENSG00000198142	-1.31455143808014	4.96820900287752	49.1598359136739	7.39500535617825e-06	0.00221210592654543
ENSG00000267059	8.55941717792247	0.944126693182435	52.8344662033576	7.75302235866926e-06	0.00223379242793942
ENSG00000134758	-1.25990281996248	4.44112607553357	48.6302882007042	7.83979719203718e-06	0.00223379242793942
ENSG00000134250	-1.10905455913244	7.38183695166671	48.601112176715	7.86477165507117e-06	0.00223379242793942
ENSG00000174705	-1.15973161887064	5.50328103064273	48.5312495230106	7.92603935321009e-06	0.00223379242793942
ENSG00000143549	-1.30795672482972	8.11224800203531	48.4789163334241	7.97206368843578e-06	0.00223379242793942
ENSG00000238266	-1.83080525827804	3.23534692541582	48.3099396747306	8.12533020340355e-06	0.00224827886728176
ENSG00000142669	-1.26342443829372	4.60702133162327	47.9415252034179	8.46465629105999e-06	0.00231325471183832
ENSG00000121039	1.15143145466525	6.64485542356286	46.3027863262684	1.01953304970429e-05	0.00275224190100661
ENSG00000184743	1.13130606501605	6.4923151252171	46.0521805120594	1.04944178241143e-05	0.00279884858981438
ENSG00000101096	-1.78872731202805	3.22373331643011	45.4931809557058	1.12012980502375e-05	0.00295180873381021
ENSG00000029364	-1.27498401815532	5.51962504014717	45.2943542835341	1.14622010191658e-05	0.00298502684423827
ENSG00000136261	1.16351778018912	6.19099728938969	44.640941088109	1.23792734938816e-05	0.00318636741930887
ENSG00000159840	-1.05313236863708	6.24819074111589	44.5361337747976	1.2534107354999e-05	0.00318913793575008
ENSG00000114573	-1.22482142067568	6.15129734519007	44.2397202003886	1.29842086128967e-05	0.00323965425846126
ENSG00000136826	-1.25316657655723	5.03746124920063	44.2133643626465	1.30253536774057e-05	0.00323965425846126
ENSG00000108960	-2.157585961379	2.26960643077895	43.8738270552308	1.35829112179264e-05	0.00334079247466686
ENSG00000106367	-1.38821797844285	4.14049450405435	43.5656349995775	1.40795791247714e-05	0.00342489630226307
ENSG00000173068	-1.23837709128699	4.22890156113737	42.7141492572216	1.56167644362849e-05	0.00375752932132176
ENSG00000113356	-1.33889285104639	4.49962306061948	42.4780284984729	1.60765476013245e-05	0.00382656406132172
ENSG00000143924	-1.12588503148853	5.5158032088439	42.1082247751961	1.68279084436927e-05	0.00396279341818705
ENSG00000137713	-1.17374249437004	4.66631300374594	41.845843107259	1.7386219900003e-05	0.00405117224954174
ENSG00000019549	-1.35219197024261	3.78809387946782	41.6414752382092	1.78364499610002e-05	0.00411278808684062
ENSG00000128791	-1.31111724743458	3.87239870169401	40.7665612450298	1.99172049501435e-05	0.00454522936882863
ENSG00000214063	-1.13820741210847	4.56054153680223	40.4643383196972	2.06991423492909e-05	0.00467547158208065
ENSG00000101888	-1.77688952149636	3.05090468636501	39.9421111678366	2.21412455431208e-05	0.00495069304386386
ENSG00000140682	-1.43340095020533	3.70153286228829	39.6832057804454	2.28922188567549e-05	0.00506742156613127
ENSG00000166068	-1.09468398972464	4.80368397495733	39.4028092165015	2.37415159536079e-05	0.00513561934253287
ENSG00000131873	-1.13803817206519	4.39044341973964	39.3968099085827	2.37606653206478e-05	0.00513561934253287
ENSG00000119922	-1.21229399727154	4.18714960709317	39.3532720600465	2.38963133484318e-05	0.00513561934253287
ENSG00000001629	-1.02767192987011	6.27708752363321	39.0780713393916	2.47723679232391e-05	0.00527270323412327
ENSG00000065154	-1.48425428182342	4.12150370827251	38.9626926271094	2.51526840600958e-05	0.0053026648986122
ENSG00000164574	-1.06755916086559	4.77756922612136	38.6625484143664	2.61685202416457e-05	0.00546477701951952
ENSG00000285000	1.66485591771053	2.94569464925491	38.0719141060467	2.83187148410399e-05	0.00579494447349734
ENSG00000184992	-1.02600201211588	5.07124696717409	38.0184842548218	2.85138235912553e-05	0.00579494447349734
