logFC	logCPM	F	PValue	FDR
ENSG00000115414	-2.71340160955158	6.53239491904072	459.714212398425	2.33575901347134e-09	5.03986722336711e-05
ENSG00000158769	3.5469265772344	4.03067780287681	320.597307559043	1.24489255609979e-08	0.000105886455447136
ENSG00000113083	-2.67154634690524	6.08412359506918	292.68154045504	1.89276665373159e-08	0.000105886455447136
ENSG00000100934	-2.27385635573043	5.47909839114392	278.118285964026	2.39421396026316e-08	0.000105886455447136
ENSG00000180398	-2.07917706201504	6.34918959139896	276.635646165553	2.45368808099217e-08	0.000105886455447136
ENSG00000138326	1.73964821782186	8.00083483201854	199.07547254845	1.10542142807304e-07	0.000362360006923746
ENSG00000101974	-1.77412193868194	6.15298475725951	191.960219412177	1.30420181199032e-07	0.000362360006923746
ENSG00000075618	-1.88071335714419	7.85102844693111	188.285417952809	1.42376045951565e-07	0.000362360006923746
ENSG00000171004	-1.80081304597157	6.02388663857464	185.820547195751	1.51144276883428e-07	0.000362360006923746
ENSG00000106366	-1.76039322385843	6.30513830037494	168.449011774868	2.35612244936244e-07	0.00049668026706355
ENSG00000204370	2.13777872167393	4.37941265200394	162.813272177823	2.74725011439657e-07	0.00049668026706355
ENSG00000081087	-2.03002729382183	4.29820088435	162.615846558644	2.76227612956509e-07	0.00049668026706355
ENSG00000073712	-1.6718618010443	6.48463854321292	158.421804954927	3.10669643811175e-07	0.000515639915731825
ENSG00000156017	-1.67255275963986	5.34307909143285	149.169299783332	4.0711311361542e-07	0.000581667614419666
ENSG00000163624	3.02137204454262	3.42351986867152	149.20051048495	4.07227187889545e-07	0.000581667614419666
ENSG00000165410	-2.13047216673987	4.75147289201001	145.656621993905	4.53019869203713e-07	0.000581667614419666
ENSG00000118523	-1.92211864129315	5.60442720105224	144.927634791436	4.63293258207573e-07	0.000581667614419666
ENSG00000148848	-1.51876663380378	6.7035168163786	143.435723711002	4.85239702440283e-07	0.000581667614419666
ENSG00000165434	-1.79343372505086	4.99193149066346	140.379750896744	5.34325687771104e-07	0.000606797124475638
ENSG00000134970	1.59127072541262	6.75667550886571	128.96174378347	7.79914780302304e-07	0.000812387104767835
ENSG00000167767	-1.36951712220495	6.1881758630103	128.565427216016	7.90662705664575e-07	0.000812387104767835
ENSG00000138685	-1.38968589826216	6.86841991458711	124.950747979521	8.9744269846331e-07	0.000831674488424273
ENSG00000100292	-1.68901591527235	6.72294195226294	123.625675294492	9.4091162766207e-07	0.000831674488424273
ENSG00000107130	-1.3112928363788	6.63614506017077	123.323240317091	9.51187241330243e-07	0.000831674488424273
ENSG00000057019	-1.49878568751069	5.68525565228803	122.963273333757	9.63612282087724e-07	0.000831674488424273
ENSG00000123094	-1.36913664711318	6.0817543554064	121.705233824248	1.00853136081124e-06	0.000836964660470156
ENSG00000177606	-1.50018130113276	5.4349720324081	115.782351499499	1.25758253099919e-06	0.00100499475079146
ENSG00000132849	1.41702046899355	5.58053046448054	114.282635462678	1.33206747113772e-06	0.00102650070802638
ENSG00000135535	1.62629228893362	6.85854557933608	111.960178938827	1.45821669060555e-06	0.00108496350114469
ENSG00000173706	-1.21500640057874	7.24108872087772	103.286977188678	2.07794291951929e-06	0.00149452581248226
ENSG00000143641	1.46932415819071	8.13650971723412	99.7707708028918	2.41778755496399e-06	0.00161825667088237
ENSG00000164976	1.43579398808584	5.58153019841594	99.6972547527679	2.42565356839832e-06	0.00161825667088237
ENSG00000113552	-1.31498645600997	6.13212355560912	98.9413997397042	2.50753575424975e-06	0.00161825667088237
ENSG00000225108	-9.33899736634526	1.6630778639411	121.542324336813	2.54997111785701e-06	0.00161825667088237
