logFC	logCPM	F	PValue	FDR
ENSG00000169876	4.47701700660852	5.48862593455184	380.55909333697	6.87991091923192e-15	6.52559550689148e-11
ENSG00000125378	1.67600986852282	8.48525011943479	247.418089168372	4.3851825332604e-13	2.07967281639874e-09
ENSG00000086548	1.69210037060691	7.41141746793977	205.175994261359	2.66146019665914e-12	8.41464998843732e-09
ENSG00000240563	-3.89112720062612	5.3930245741342	189.623218750074	5.90435919134556e-12	1.40007117324782e-08
ENSG00000118971	1.52184023872812	7.54727493146599	175.395717945671	1.17830946530789e-11	2.23525305568907e-08
ENSG00000145824	2.34069872048326	5.46610942417661	159.162401415818	2.93294622336256e-11	4.63649915476565e-08
ENSG00000138696	8.85936955315988	3.837453058484	188.099891526055	5.83414292908469e-11	7.90526366890975e-08
ENSG00000134193	-2.31743888023972	6.69923753943547	127.07202025582	2.32150668943457e-10	2.75243636866086e-07
ENSG00000151632	2.26755028160103	5.66848701145576	102.453076983625	1.5883327118666e-09	1.5298859223074e-06
ENSG00000187239	-3.04695105462909	5.01576868740281	102.485521792511	1.61295300190553e-09	1.5298859223074e-06
ENSG00000070526	-1.3194156732137	6.98892250439913	94.8155222298376	3.11927456904204e-09	2.68966538976034e-06
ENSG00000196139	1.67042860052617	6.17158864969418	87.9178819536797	5.97893896770972e-09	4.72585300906056e-06
ENSG00000279806	1.91477750747329	4.81049920749031	86.8295158906973	6.66514493190318e-09	4.86299228300782e-06
ENSG00000136942	-0.877820525486709	10.235263520096	85.2107034660735	7.80409000851728e-09	5.28727098077045e-06
ENSG00000198899	0.924586065468664	12.9516021245164	80.4189736345034	1.273227183772e-08	8.05103989205161e-06
ENSG00000205189	-3.62633192971189	3.64873510491668	72.3991865430081	2.401381482772e-08	1.42356896025578e-05
ENSG00000142089	1.99580832632702	4.7447608481376	72.8136889402967	2.91979153889208e-08	1.62907192625832e-05
ENSG00000182568	-7.89633580662786	3.45793723749517	79.4494984270583	3.28678037895127e-08	1.73195066079738e-05
ENSG00000122711	-3.84533119808656	5.57926136862784	88.5415744412559	3.65354290224373e-08	1.82388707514641e-05
ENSG00000168955	2.17979609780011	4.14498512365421	68.7564926270067	4.70680003202619e-08	2.23219991518842e-05
ENSG00000197273	-2.40519363197539	4.79150968253792	67.39344199757	5.5209409436829e-08	2.49362499289678e-05
ENSG00000057252	-3.34097291690955	4.19545109320959	64.9312437938365	7.4005868170565e-08	3.19066208908095e-05
