logFC	logCPM	F	PValue	FDR
ENSG00000081479	10.9433255929119	5.13504069297502	1952.11000775732	5.77000269286627e-16	7.21241279286494e-12
ENSG00000128710	11.0422748241984	5.23331530131706	1910.97748859728	6.65321045419025e-16	7.21241279286494e-12
ENSG00000253293	10.1791656819853	5.26289403314565	2992.93446860693	1.13778945972879e-15	8.22280442545998e-12
ENSG00000134531	-9.44247430454545	9.75507706439765	6255.48635059894	2.55906643653538e-15	1.38707798526309e-11
ENSG00000198732	10.0235209146722	4.22361525275009	1468.98735037715	3.85750781726054e-15	1.67269253972051e-11
ENSG00000163823	-11.2382461381574	5.14136302429449	1436.41086345087	5.92341589147729e-15	2.14042633238532e-11
ENSG00000107742	-8.68705457844509	9.24574209904905	4683.11260387305	1.08498169353771e-14	3.36049829965588e-11
ENSG00000143674	10.8300400471724	5.021822767276	1204.87518822166	1.4464153665521e-14	3.91996644527702e-11
ENSG00000101335	-7.53934751015904	7.61908473455849	4289.04873152577	1.68351824871723e-14	4.0555954611598e-11
ENSG00000005073	9.41931203087359	3.85856722933538	1179.91631940052	2.20767029821229e-14	4.57569498754486e-11
ENSG00000137273	10.3053737844696	4.50288965867067	1120.53653360255	2.34502511562974e-14	4.57569498754486e-11
ENSG00000120149	9.8264811784636	4.03058774812733	1107.6605045666	2.53255568703188e-14	4.57569498754486e-11
ENSG00000095739	9.82367006691688	4.53625542820576	1283.24484192117	3.30965828218893e-14	5.00988982547238e-11
ENSG00000106484	-8.32452258094723	6.52306297939728	3699.13070275186	3.61618401800244e-14	5.00988982547238e-11
ENSG00000128709	9.47934028118429	3.68954194820795	1039.00798386725	3.87647145564507e-14	5.00988982547238e-11
ENSG00000107438	9.88266745037768	5.51194018489028	2451.13315036924	3.88225941916596e-14	5.00988982547238e-11
ENSG00000172716	10.1487844837956	7.00374289000819	3702.46266867749	3.92823795180252e-14	5.00988982547238e-11
ENSG00000133124	11.3135961161564	10.2320764380089	3300.25172140711	6.28069515926725e-14	7.34184804195397e-11
ENSG00000183206	-9.90480209093286	5.97110969635519	3018.75082206244	6.60558376899651e-14	7.34184804195397e-11
ENSG00000215612	9.07242776590946	3.79501078451219	1145.72787553059	6.77261015816057e-14	7.34184804195397e-11
ENSG00000145681	-10.6426949590093	5.71715233158003	1726.1737054734	8.31894078251346e-14	8.39955508208909e-11
ENSG00000138795	9.34207945248002	4.06024565950925	1104.58092092986	8.52314062109496e-14	8.39955508208909e-11
ENSG00000182107	-10.5493002591188	6.70245088149172	2832.35865742979	1.02284250628868e-13	9.64184712123694e-11
ENSG00000138722	-10.9428743716935	4.84509193284737	922.067287021155	1.09753219037277e-13	9.76149296889816e-11
ENSG00000011465	-9.53730983348269	6.52299295369058	3005.90096520987	1.15295531762519e-13	9.76149296889816e-11
ENSG00000139946	9.58625343170123	3.79357884518485	879.797038574938	1.17060475619829e-13	9.76149296889816e-11
ENSG00000152192	9.75273959653218	4.83917853167968	1350.28778679043	1.26112451778036e-13	9.82188571603677e-11
ENSG00000128714	10.4755845125994	5.55668165622114	1349.33895061768	1.26845071744398e-13	9.82188571603677e-11
ENSG00000243943	9.34687180561491	4.97823542412098	1930.16820897934	1.40036191391866e-13	1.04693953985071e-10
ENSG00000145248	-5.67308262719545	6.83240031912486	2731.5654948969	1.59480745130376e-13	1.15256734505723e-10
ENSG00000234444	10.027305540253	4.22898201385408	827.870545317331	1.75247176700785e-13	1.19532988469033e-10
ENSG00000121039	-4.67291297183477	9.05637265073498	2676.52697614315	1.76424317651818e-13	1.19532988469033e-10
ENSG00000174807	-8.78920702426249	5.27492117294265	2634.58796453524	1.96652488112102e-13	1.29200684689651e-10
ENSG00000154930	9.27307547433383	3.99106647306252	950.688406210178	2.19298154200314e-13	1.39841272976971e-10
ENSG00000164756	-9.35596000734607	4.87848035153791	1900.04298020013	2.31244361234064e-13	1.40744186041735e-10
ENSG00000135111	9.87166817225758	4.9587278212107	1214.12939953517	2.37859233546859e-13	1.40744186041735e-10
ENSG00000116729	7.64574511946031	5.63234789531333	2548.13147952318	2.40188869680559e-13	1.40744186041735e-10
ENSG00000130508	9.99604070021284	5.08198698406344	1197.94995225385	2.57358819285391e-13	1.46836751603331e-10
ENSG00000184357	-8.39814356354329	7.42536816283859	2459.17760740497	2.70708816724921e-13	1.50493278343923e-10
ENSG00000130675	9.49724804671992	3.70668403628083	770.14227922808	2.82929851531135e-13	1.53089896002974e-10
ENSG00000133433	-8.31858942441018	2.71585159344279	889.587793383719	2.92024691477478e-13	1.53089896002974e-10
ENSG00000165655	10.1454327536107	7.22477642349336	2486.37112466739	2.96562687704669e-13	1.53089896002974e-10
ENSG00000157404	8.25273293007513	3.36350576478906	1159.13861684254	3.11543015614614e-13	1.57082886547452e-10
ENSG00000184867	-6.58673344255462	7.84938354249275	2362.30633100313	3.28773906511445e-13	1.62003342433514e-10
