logFC	logCPM	F	PValue	FDR
ENSG00000169139	-3.35220035320289	7.91515528353486	141.675770345906	3.60040431222801e-08	8.81328630223322e-05
ENSG00000165525	-3.96793742152093	6.04990161724487	140.729360448105	3.80374894356203e-08	8.81328630223322e-05
ENSG00000175305	-4.63863909858589	3.98032813075159	95.7123790548304	1.72669079189205e-07	0.000129456852892099
ENSG00000153201	-3.18345116031794	7.44421539595574	106.811370644973	1.7988240493116e-07	0.000129456852892099
ENSG00000164548	-2.80748910408662	7.75721751444322	106.687709166118	1.80997220034945e-07	0.000129456852892099
ENSG00000100852	-4.37304066842464	8.7153001164394	104.516897262401	2.03192604770168e-07	0.000129456852892099
ENSG00000119969	-2.7376066446311	7.61249646066222	104.029917925329	2.08544846658507e-07	0.000129456852892099
ENSG00000085224	-3.78946450399402	6.19882363025419	102.818009726114	2.24452352188248e-07	0.000129456852892099
ENSG00000015479	-3.12943713586288	9.56911603688861	97.1769398681022	3.05130081711836e-07	0.000129456852892099
ENSG00000187627	-3.1157216065866	5.60783067325521	96.1752794065912	3.25740701910118e-07	0.000129456852892099
ENSG00000185246	-3.64116843238195	7.87191027513578	95.9606258586376	3.27477153819288e-07	0.000129456852892099
ENSG00000125676	-4.15917006877819	7.34662753773368	95.5850597666644	3.35235700195336e-07	0.000129456852892099
ENSG00000101972	-3.07344962476947	8.61807310866222	94.1814280455048	3.6319674486778e-07	0.000129465670439792
ENSG00000171988	-2.46009116048723	7.12255566477538	91.3740843660655	4.29618307190796e-07	0.000142203659680154
ENSG00000164190	-2.97767502727219	9.77725994537484	88.0431144536102	5.27195437507535e-07	0.000154912785008799
ENSG00000134318	-3.11832542625114	7.16352193779297	87.735479247499	5.37854823573678e-07	0.000154912785008799
ENSG00000146247	-3.92701492677368	6.17574334243859	86.6877042769692	5.79712214071674e-07	0.000154912785008799
ENSG00000056586	-2.35047995397963	8.24962335075323	84.7941165467325	6.48285632693015e-07	0.000154912785008799
ENSG00000067900	-3.8081063932562	6.2102280338341	84.8749924543079	6.49616274970884e-07	0.000154912785008799
ENSG00000089048	-4.50723590785962	6.61804218442727	83.5956103269286	7.08688167068969e-07	0.000154912785008799
ENSG00000077097	-3.11243932636396	7.82658015658263	83.1981738447882	7.19587343510299e-07	0.000154912785008799
ENSG00000129292	-2.32573543498784	7.408908292932	82.8176229195472	7.37839872448973e-07	0.000154912785008799
ENSG00000125740	-5.33158225055512	8.03342832542718	89.3360527178454	7.68880892361322e-07	0.000154912785008799
ENSG00000172845	-2.42391464814189	9.97881150449146	81.0143879857421	8.31879248010373e-07	0.00016062201813667
ENSG00000165494	-2.75890706828499	7.42707226450376	78.2932353269667	1.00228572980834e-06	0.000184710331612799
ENSG00000166200	-3.09150024054663	9.20281896633291	77.7530810617261	1.04039837938518e-06	0.000184710331612799
ENSG00000176105	-3.20463769334926	5.98311567454043	77.2345822056865	1.08320818193339e-06	0.000184710331612799
ENSG00000043093	-2.64161867278244	7.89966437964169	76.7540916085751	1.11607451125559e-06	0.000184710331612799
ENSG00000108055	-2.32859081026066	8.13470996424107	75.8903299373804	1.18656893394181e-06	0.000187693130681692
ENSG00000075292	-3.51741339461539	4.46091712851694	76.0357758855324	1.21510442823711e-06	0.000187693130681692
ENSG00000218586	-4.87388157795117	4.0117245153634	65.3892721869732	1.3457102878337e-06	0.000201161983026496
ENSG00000114062	-2.80622993967702	8.15152812683626	73.5509709868048	1.40514751621479e-06	0.000203482924691855
ENSG00000163714	-2.03826682946766	8.7338170677533	72.3194085134683	1.53866954979827e-06	0.000216066505871672
ENSG00000217128	-2.5928843205827	5.86780491159274	71.8833728053979	1.59288286720077e-06	0.000217100564900245
ENSG00000113595	-2.85279832624357	5.27560249500724	70.8004593903331	1.73783285710353e-06	0.000230089070280508
ENSG00000178177	-3.53210230349048	5.62957599465962	69.6020546072468	1.91138663667067e-06	0.000246037935398107
ENSG00000122482	-2.83524923195962	5.70706389474291	69.0034049735149	1.98564128403615e-06	0.000248688154330366
ENSG00000088179	-2.67908077963711	5.12168876560976	68.0508117874344	2.14744701679058e-06	0.000261875512521251
ENSG00000165156	-2.56741721156846	5.24768759498281	66.8455584549025	2.35591155408314e-06	0.00027993061901593
ENSG00000119707	-1.94176370684295	9.04783664712351	66.0730881065564	2.49290450895245e-06	0.000281880509666665
ENSG00000159086	-2.12137696988088	6.42033344124623	66.0759123262232	2.49397947698171e-06	0.000281880509666665
ENSG00000124333	-3.25966688306182	4.10715687945562	65.249346667634	2.7295294518018e-06	0.000298279872876968
ENSG00000153147	-2.25097072373198	8.99178414284323	64.6822028533699	2.7905746472938e-06	0.000298279872876968
ENSG00000188529	-2.82280451363056	9.32045014022512	64.3267095620827	2.87312007363825e-06	0.000298279872876968
ENSG00000101974	-3.81731048085207	4.10439614716252	63.6353288211266	2.8965460249166e-06	0.000298279872876968
ENSG00000152601	-2.11373034681457	9.62221235463372	63.5939306390209	3.05222312484257e-06	0.000307478303489576
ENSG00000123575	-3.29123189054477	5.05309735825429	62.2838840025474	3.47295836697193e-06	0.000336434471204924
ENSG00000163029	-2.68644469544638	6.64892485038642	61.9250959426541	3.51386269083163e-06	0.000336434471204924
ENSG00000160551	-2.39431754803606	7.79905116168168	61.7725164119626	3.55746419703091e-06	0.000336434471204924
ENSG00000111011	-2.62280318851708	5.77916983507761	61.0586052081252	3.78940750573492e-06	0.000351202287631513
ENSG00000139793	-1.93704494256413	8.100869860909	60.4333627451205	3.99063353042919e-06	0.000360799838668628
ENSG00000280987	-3.21621458873836	8.39878552695993	60.2677108767373	4.04868183227636e-06	0.000360799838668628
ENSG00000185697	-3.14037265367381	5.05402904545923	59.8706517409853	4.25600023411668e-06	0.000372118963865976
ENSG00000132424	-2.58880534987248	7.99201667047986	59.4438045633214	4.35077508649864e-06	0.00037336095834879
ENSG00000102081	-2.15079788821015	8.42880288527044	59.1798730839825	4.4527482636997e-06	0.000375164280981535
ENSG00000082269	-2.46131775004199	6.39255945141427	58.2567799683098	4.8367772767688e-06	0.000386524696779376
ENSG00000029363	-2.15639125828946	9.69698399776192	58.1848915070035	4.86382314958282e-06	0.000386524696779376
ENSG00000115355	-4.05549356684586	5.98955954046941	58.2113799335797	4.91356967175761e-06	0.000386524696779376
ENSG00000116473	-2.25362823460334	7.32356606739222	58.0565209839701	4.92122509926267e-06	0.000386524696779376
ENSG00000054267	-3.23457488368872	4.55592106277955	58.1899016682584	5.00843396843678e-06	0.000386818050162267
ENSG00000198887	-2.93033404132771	4.54596308679342	57.741861461225	5.18488014708509e-06	0.000393880895108071
ENSG00000079134	-2.40270743708301	5.90406424290203	57.1704287787233	5.33715300353741e-06	0.000398909145457941
ENSG00000156802	-2.23812450948631	6.8067066384482	56.7954811662349	5.51657531165158e-06	0.000404991676099323
ENSG00000094975	-2.4264931700155	6.13925179193872	56.6520626554897	5.59332483175586e-06	0.000404991676099323
ENSG00000164985	-1.80879134880517	8.10349402737163	56.0189321126693	5.92236688467091e-06	0.000417113249955265
ENSG00000112237	-2.49757137997391	5.67362497695317	56.0078711132955	5.9407584154181e-06	0.000417113249955265
ENSG00000155744	-3.3306929639389	3.83994398090796	55.4506736713216	6.15043727373524e-06	0.000425389945171479
ENSG00000023287	-3.4404413952696	5.15168989007902	55.2378915647193	6.48714417712712e-06	0.000438738878787255
ENSG00000211456	-1.93767321733003	6.61624184107994	54.9681045536106	6.53279728880461e-06	0.000438738878787255
ENSG00000092439	-2.54744699581396	7.23634650884939	54.5419596514933	6.79945542890166e-06	0.00045012394939329
ENSG00000145715	-2.19930128560874	7.90497548925429	54.3829375815554	6.90129876144063e-06	0.000450431245922759
ENSG00000138398	-3.03010006589867	6.24982649793945	53.4515707210065	7.55420355373398e-06	0.00047598174069644
ENSG00000117569	-2.01534984074556	8.11002311451815	53.3792026427785	7.59419872891265e-06	0.00047598174069644
ENSG00000100941	-2.7522550050778	9.0855455996475	53.3697378888511	7.60091687775929e-06	0.00047598174069644
ENSG00000275052	-2.68200992787811	8.2162093060416	52.9266530640894	7.93337374433679e-06	0.000490176719083422
ENSG00000100442	-2.40074885757364	8.42847806110193	52.7882242000116	8.04009514990256e-06	0.000490234222692743
ENSG00000178691	-2.00039912505983	8.75980440171149	52.4275075397101	8.32695755243769e-06	0.000501131445428523
ENSG00000122545	-2.14104562139175	10.7289944801392	52.0526627416068	8.63760943268106e-06	0.000513162591167231
ENSG00000134852	-2.49954820813265	5.48522450582031	51.8260424202094	8.85585294195833e-06	0.00051946863965867
ENSG00000072415	-2.59746058949354	5.94474078422837	51.2732668362504	9.34300956273533e-06	0.000541193828921444
ENSG00000080824	-1.92342592496566	10.9957190194393	50.7087312519494	9.86912228979706e-06	0.00056461126778913
ENSG00000197601	-2.50561409013262	7.7469768093898	50.3097583029061	1.02750646595605e-05	0.000580666458931749
ENSG00000101868	-2.44451629295272	6.6948371581784	49.8863956523646	1.07284432314034e-05	0.000598983204027994
ENSG00000005889	-2.17540895521106	6.17412860989093	49.6165036705382	1.10300992804113e-05	0.000608493810302692
ENSG00000048405	-2.44040201549448	7.3624446581635	48.8860415324079	1.18828482517608e-05	0.000647824927043052
ENSG00000172869	-3.22144223092137	4.21706189001633	49.0165929158235	1.20251378710744e-05	0.000647959173192542
ENSG00000155970	-2.92393478851399	4.10454661187537	48.4046454357174	1.28345871805265e-05	0.000676628540942413
ENSG00000070367	-1.84446839712632	7.4571758898748	48.1327909349242	1.28492256372318e-05	0.000676628540942413
ENSG00000163728	-2.5351509548708	4.96637453795171	47.8303412866952	1.33467153868133e-05	0.000694928978679692
ENSG00000196504	-1.76768075676481	8.86378548642218	47.5322878626469	1.3685019958366e-05	0.00070029065441511
ENSG00000155959	-2.09659513834893	6.20866064603671	47.4228818424409	1.38531892214168e-05	0.00070029065441511
ENSG00000137770	-1.92599947394412	8.41859147135965	47.3832618378184	1.39030514040117e-05	0.00070029065441511
ENSG00000047410	-2.30544029805955	7.73730259935983	46.8896222495522	1.46537887408351e-05	0.00073016835510785
ENSG00000062194	-2.65793487706291	7.7446980958959	46.65770507246	1.50233439634064e-05	0.000733189994695781
ENSG00000151461	-2.3358267870197	7.68770703261518	46.6523257613703	1.5030869550302e-05	0.000733189994695781
ENSG00000168300	-3.40740018631063	5.89582605383108	46.2716933411184	1.57273319707431e-05	0.000759171420337744
ENSG00000162702	-1.91177623844091	7.0927833680815	45.9967097448348	1.61338124264356e-05	0.000770763781279406
ENSG00000181555	-1.89664074268002	6.96447414950116	45.694930934436	1.66724403142684e-05	0.000783577978239608
ENSG00000024526	-3.78542455329525	4.0762632791672	45.2961352355126	1.67604712113102e-05	0.000783577978239608
ENSG00000001631	-2.00137645396269	5.42036621689108	45.444720965038	1.71581658660433e-05	0.000783577978239608
ENSG00000170759	-3.03000577901261	6.85910883490279	45.4043891849951	1.72186498638818e-05	0.000783577978239608
ENSG00000169045	-1.54109443243488	12.0708625829817	45.3829912711751	1.7247508368675e-05	0.000783577978239608
ENSG00000185728	-1.72394352598418	9.48384136668061	44.9115169181806	1.81668372593101e-05	0.00081596103033393
ENSG00000148943	-2.16625429062421	5.34951833954027	44.857732004415	1.83124616216506e-05	0.00081596103033393
ENSG00000116754	-1.64760731395555	8.44280629421845	44.5991645339203	1.88079380193476e-05	0.000822673141357138
ENSG00000113742	-2.01678326391596	6.03203071997438	44.6002797750114	1.88181599015659e-05	0.000822673141357138
ENSG00000107897	-2.53153315000417	4.76597455769983	44.3790659212519	1.94418854914429e-05	0.000841997171657445
