logFC	logCPM	F	PValue	FDR
ENSG00000023171	-10.9307026457165	5.83372409448167	1367.7558550603	4.12555820131695e-11	6.41689322632838e-07
ENSG00000214049	-9.93688506364002	4.31253719396338	544.366152466832	9.00018556465415e-10	6.99944431363153e-06
ENSG00000095752	-3.34520673085593	7.29937176528428	570.530226305122	6.3832220926266e-09	3.30948788095714e-05
ENSG00000245532	2.78172595784915	6.89878233098078	436.584327431198	1.89825634735361e-08	7.3813698066845e-05
ENSG00000128591	-2.18740973965507	8.3323809095981	359.141025382633	4.192167657351e-08	0.000130409951484875
ENSG00000118523	-1.95846224250726	8.58218239444251	309.833191148954	7.61693038042253e-08	0.000197456225228487
ENSG00000041353	4.09866322676088	3.54322881323602	293.965324280252	9.42600237776391e-08	0.000209445772833914
ENSG00000167996	1.66549449600008	10.4889293990119	247.030226878961	1.8957756213313e-07	0.000368586175177338
ENSG00000023445	2.7540606859138	5.27620542186351	238.504107218824	2.18268368160358e-07	0.000377216244262912
ENSG00000136999	3.31412237991915	3.33340880693935	220.637447666451	2.98247126833656e-07	0.000400878601272951
ENSG00000161011	1.89003724649663	9.46340641155001	211.921131306753	3.50210455998743e-07	0.000400878601272951
ENSG00000223638	3.26620345267461	4.08232013300892	209.836713020034	3.64372385433029e-07	0.000400878601272951
ENSG00000166780	-7.19618488841486	2.50205504605869	188.333168069707	3.69467928360212e-07	0.000400878601272951
ENSG00000229292	3.363472742987	3.52878932207466	206.113298599184	3.91442147738814e-07	0.000400878601272951
ENSG00000188042	2.02881992802419	6.64886228618697	204.146862717629	4.06548318339027e-07	0.000400878601272951
ENSG00000183963	-1.90968658776037	6.2300963069799	203.419965961739	4.1237351294633e-07	0.000400878601272951
ENSG00000120254	-1.89255214671211	6.39991370273379	191.092801066664	5.28984212055858e-07	0.0004455997062793
ENSG00000170745	5.72386469111873	2.10663667979552	188.692147539852	5.62224057243168e-07	0.0004455997062793
ENSG00000135074	-2.1713198910525	5.15940156385122	185.772216255506	5.91856523492484e-07	0.0004455997062793
ENSG00000175764	-2.37644294230694	5.5509566257316	185.153441447464	5.99756193591263e-07	0.0004455997062793
ENSG00000106991	-4.65163008610666	2.68327468991969	185.312249746298	6.01619765453601e-07	0.0004455997062793
ENSG00000087086	1.74111515772799	10.6482822306911	177.346367884548	7.1165172807276e-07	0.000503137771747441
ENSG00000120885	2.40633266027848	5.31372221410637	173.3320055441	7.79298777375876e-07	0.00052700926883932
ENSG00000105974	1.26210312643784	9.57069860014062	165.417258988636	9.3773892615978e-07	0.000607732969062051
ENSG00000120708	-1.5359966230442	8.43756039150277	160.000204414723	1.06966493835144e-06	0.00065143461782813
ENSG00000185551	-1.68583936190523	6.93334092566589	156.911767094368	1.15524416657784e-06	0.00065143461782813
ENSG00000065534	1.98799081963923	5.51377515727546	156.091152430668	1.17940273775473e-06	0.00065143461782813
