logFC	logCPM	F	PValue	FDR
ENSG00000115414	-2.16600089960195	6.63592960679465	366.135914709496	2.36685765845472e-08	0.000379567105700123
ENSG00000180398	-2.0165247338911	6.37940087406633	302.705807353186	5.26667230267675e-08	0.000379567105700123
ENSG00000100934	-2.46626733980752	5.46642103741147	302.242240216607	5.30096977375527e-08	0.000379567105700123
ENSG00000113083	-2.48952272782419	6.12867631179664	280.320418741589	7.26747336823799e-08	0.000390281488557801
ENSG00000138326	1.63119614012875	7.93520082380909	219.788281061695	2.00495555498403e-07	0.000783404052078335
ENSG00000106366	-1.70604271099354	6.33559443411639	215.210233654399	2.18817760461338e-07	0.000783404052078335
ENSG00000171004	-1.71061003267769	6.06256522478331	192.446436705864	3.47780557339325e-07	0.00106723916460086
ENSG00000138685	-1.66326982509714	6.81551969900727	173.258013824321	5.36495737273032e-07	0.00118848606309436
ENSG00000086289	-2.18170796348156	4.0577176497948	163.843813061298	6.75217102809674e-07	0.00118848606309436
ENSG00000081087	-1.98536189525599	4.32720816126504	161.980262626816	7.07647157557101e-07	0.00118848606309436
ENSG00000143641	1.64704937432903	8.28615295936017	161.905325443577	7.08910968822401e-07	0.00118848606309436
ENSG00000158769	3.45568865035821	3.96084240334355	161.806728662377	7.11304087827635e-07	0.00118848606309436
ENSG00000167767	-1.46175977199708	6.18101635726207	159.911573435154	7.45900929689539e-07	0.00118848606309436
ENSG00000137710	-1.32874172585441	7.16846160294537	158.447529830761	7.7458241624324e-07	0.00118848606309436
ENSG00000165410	-2.48906081185565	4.71033969757001	151.313286656719	9.35613758240356e-07	0.00133986127605074
ENSG00000101974	-1.47272936568685	6.24481722305504	143.302626785138	1.16842849252729e-06	0.00155637777091108
ENSG00000118523	-1.82618568136648	5.6432221015877	141.46325123316	1.23171277433492e-06	0.00155637777091108
ENSG00000134901	-1.79591048825446	4.29346129105208	132.683354987624	1.59899975920676e-06	0.00180887851036959
ENSG00000164976	1.45265197049156	5.61023645803863	132.28880132196	1.61835777875093e-06	0.00180887851036959
ENSG00000184743	1.28046128020628	6.6305332228838	126.090645319582	1.96632769789375e-06	0.00180887851036959
ENSG00000204370	1.9626419484058	4.25398347789214	123.143690018584	2.16425690000915e-06	0.00180887851036959
ENSG00000135535	1.54700214480809	6.81594849074069	122.791428900381	2.18924538096194e-06	0.00180887851036959
ENSG00000100644	-1.17107959249068	7.79523781410548	118.038146387932	2.5680503042077e-06	0.00180887851036959
ENSG00000188706	-1.39345349853496	5.44488926406778	117.384957724755	2.6263106250142e-06	0.00180887851036959
ENSG00000075618	-1.30039640915633	8.01359885716018	116.58941061148	2.69929198067235e-06	0.00180887851036959
ENSG00000107130	-1.17407037033231	6.6945588546564	116.481167871904	2.70942847920895e-06	0.00180887851036959
ENSG00000206588	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000206596	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000206652	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000207005	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000207389	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000207513	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000273768	-1.96727634391078	4.89301893339874	115.685190039694	2.78556224086695e-06	0.00180887851036959
ENSG00000165434	-1.58442471867995	5.06043647296557	114.899770559283	2.86308222860044e-06	0.00180887851036959
ENSG00000057019	-1.43467843886493	5.72028047651014	112.096323123023	3.16247390048965e-06	0.00194094576732623
ENSG00000163624	2.79172951798788	3.23579934359431	110.531043000955	3.34956746652072e-06	0.00199866829856477
ENSG00000123094	-1.40773291547409	6.08884077384778	109.578770944662	3.46496082212131e-06	0.00201164387621589
ENSG00000155850	-1.17226444055366	6.47333008396397	104.180222096832	4.24347264617992e-06	0.00239879041875239
ENSG00000151239	-1.24399350063129	6.55389218308768	102.020144218668	4.61463595145842e-06	0.00244836099325545
ENSG00000177606	-1.34389985570276	5.49580467918633	101.754176450131	4.66313555433973e-06	0.00244836099325545
ENSG00000152492	-1.33099217710086	5.50926867668372	101.69987825714	4.67309718930559e-06	0.00244836099325545
ENSG00000110422	-1.13008344497755	6.21222754094482	99.3124271506094	5.13821880122194e-06	0.00262795423973925
ENSG00000073712	-1.23545416431783	6.6192084750087	97.9400144786944	5.43153503748117e-06	0.00271336753814263
ENSG00000132849	1.35188923007935	5.54991708917148	95.8543137955145	5.91803247648421e-06	0.00288921035516721
ENSG00000123728	-1.3031132474722	4.86738246221736	89.6556647360619	7.71761141439092e-06	0.00360675765087946
ENSG00000134970	1.44883841171558	6.66794861082305	89.0888287239069	7.91362699168026e-06	0.00360675765087946
ENSG00000173706	-1.00423760012148	7.32534937309451	88.4203639529033	8.1530606282431e-06	0.00360675765087946
ENSG00000105137	-1.39207722569069	4.51565084493931	88.215721918575	8.22851177459664e-06	0.00360675765087946
ENSG00000140526	1.16440734330028	5.39122127345488	88.015600143464	8.30252906318555e-06	0.00360675765087946
ENSG00000155304	-1.35655875967609	5.07996242813732	87.7397991320096	8.40634254753623e-06	0.00360675765087946
ENSG00000158711	-1.04937931943177	6.73548874202002	86.9608645207739	8.70765818296828e-06	0.00360675765087946
ENSG00000148848	-1.02555973621525	6.86573534407776	86.9018700519632	8.73103662984648e-06	0.00360675765087946
