logFC	logCPM	F	PValue	FDR
ENSG00000021355	2.3589544050068	7.54618219218928	1552.84359137543	1.19854274717165e-14	1.15742309442886e-10
ENSG00000170465	2.88904978061229	7.63285816715732	1495.91711612074	1.51614238201318e-14	1.15742309442886e-10
ENSG00000169100	-1.94298080306947	8.66632740191833	1020.51669395018	1.6754132547132e-13	8.52673652432038e-10
ENSG00000121742	2.4011497559995	5.51564492859844	960.791403255659	2.44519428079659e-13	9.33330656980058e-10
ENSG00000124466	1.82982037745044	8.42419142748155	899.964627791077	3.68275896867226e-13	1.00848253484407e-09
ENSG00000140519	1.86686886819675	6.64759883923673	889.478458910644	3.96312235333012e-13	1.00848253484407e-09
ENSG00000131016	3.26515787936893	3.90118924926755	839.64945963925	5.68839809542932e-13	1.13097067585277e-09
ENSG00000118705	-1.75525973015623	7.49829122097726	822.20057311889	6.48233380850758e-13	1.13097067585277e-09
ENSG00000143546	2.06938594554548	6.86798185638645	818.521048732031	6.66671213169699e-13	1.13097067585277e-09
ENSG00000151715	2.14173227118804	5.76149987666034	748.389682677605	1.16677142641434e-12	1.78142661384941e-09
ENSG00000155265	2.95394333434104	3.72074271421426	728.122218794742	1.38569713447434e-12	1.84244129481003e-09
ENSG00000116701	1.99576455900308	5.28189906758622	722.939342222667	1.44808066136497e-12	1.84244129481003e-09
ENSG00000167656	2.60091414684145	6.52647873643227	684.173999161364	2.04213327000289e-12	2.04290258558757e-09
ENSG00000179593	2.36601660104934	4.61532702526091	680.84821804899	2.10536895264424e-12	2.04290258558757e-09
ENSG00000057149	1.82871624880913	5.23258808952707	678.164879518508	2.15762047868611e-12	2.04290258558757e-09
ENSG00000186832	1.95571216003946	10.633005432552	672.924845196218	2.26446859780024e-12	2.04290258558757e-09
ENSG00000128595	1.51081842153415	7.72845004393528	672.440788986846	2.27464919799506e-12	2.04290258558757e-09
ENSG00000214548	2.5049429430582	5.06911439239767	649.929154160321	2.81255948141489e-12	2.35519229944278e-09
ENSG00000004478	-1.51148155333993	7.48322833592393	645.634451537461	2.93087854921489e-12	2.35519229944278e-09
ENSG00000144063	1.45602093982989	7.02567075956656	617.780035579529	3.85697145463866e-12	2.94441200847115e-09
ENSG00000138061	1.87308424495856	5.65663019614305	608.818469076779	4.22416071668034e-12	3.05228444727215e-09
ENSG00000139433	1.61546293445782	7.973251960223	604.881443235898	4.39810439088206e-12	3.05228444727215e-09
ENSG00000109182	2.13829818779091	5.21048074222282	600.303813419754	4.61123887694853e-12	3.06106065970653e-09
ENSG00000136688	2.29578693352242	4.30524933576592	576.793924499117	5.91181831808813e-12	3.52472919733084e-09
ENSG00000106366	1.25463079743705	8.02662432247079	573.252152688432	6.14178846726356e-12	3.52472919733084e-09
ENSG00000124102	2.07353138390155	7.64820925251381	570.007629638357	6.36228776404848e-12	3.52472919733084e-09
ENSG00000203837	2.29135504147969	4.52111453276807	567.706545170627	6.5249987392284e-12	3.52472919733084e-09
ENSG00000148400	-1.90143600526157	7.48427478498054	567.463023989633	6.54164354865837e-12	3.52472919733084e-09
ENSG00000185479	1.74383254517183	10.3437900484574	565.352347999611	6.69486158780419e-12	3.52472919733084e-09
ENSG00000165272	1.48020478362163	9.82562944123021	558.490503529785	7.22248455137262e-12	3.67576313767857e-09
ENSG00000188089	1.81552717574932	4.79747919792868	554.346818661785	7.56493442367933e-12	3.70330520790236e-09
ENSG00000025708	2.00779393534346	5.72902091313153	549.860416023981	7.9559718182679e-12	3.70330520790236e-09
ENSG00000184731	1.75056615699028	4.6652190285675	549.330611492717	8.0042619767342e-12	3.70330520790236e-09
ENSG00000105141	2.29762986623167	4.1735908565128	544.384438979186	8.46711652787842e-12	3.80223338669552e-09
ENSG00000171124	2.54191743861144	4.75195686153184	539.840674890477	8.91909761010178e-12	3.89076520888669e-09
ENSG00000103489	2.10244256586333	4.84995935068443	535.311596543548	9.39754421623303e-12	3.98560291926238e-09
ENSG00000159840	-1.5784872052291	7.23069611628274	530.495930361052	9.93877221501109e-12	4.10122092375106e-09
ENSG00000163220	1.67298765206038	8.76139739659171	519.195760096065	1.13589076705763e-11	4.5638895345884e-09
ENSG00000101188	2.31705912483873	4.42959161921169	502.083698067253	1.39832838821144e-11	5.47427636697749e-09
ENSG00000100985	1.9608206269151	6.19946008242969	491.758304611761	1.59029760851563e-11	5.97771092493611e-09
ENSG00000101384	1.39412062964501	7.78589917280856	491.016594454393	1.60522758660192e-11	5.97771092493611e-09
ENSG00000144476	2.28864664440082	3.68879911703444	487.460418620203	1.67949095815989e-11	6.01685416020224e-09
ENSG00000166670	2.3709763660512	3.85072024275925	486.755616085678	1.69455546822568e-11	6.01685416020224e-09
ENSG00000134827	3.2620699567938	3.12603626492887	484.298899514232	1.75110543490921e-11	6.03268536163225e-09
ENSG00000276043	-1.83413902713799	6.38220696028369	482.976090055442	1.77803799628931e-11	6.03268536163225e-09
ENSG00000284981	2.65620802069554	3.98980041981369	480.871349240371	1.8271419286928e-11	6.06452238419166e-09
ENSG00000010438	1.88398604812356	5.25870602345034	478.325759778398	1.88781300217066e-11	6.13258062066845e-09
ENSG00000188293	-1.84891126497524	5.34204213740016	475.580340179117	1.95627334786036e-11	6.22257947398582e-09
ENSG00000111145	-1.4168699078402	6.07926234572554	462.839423640443	2.31414907213978e-11	7.15770311395635e-09
ENSG00000163472	1.36192360081438	5.70823476651353	461.880769579817	2.3440211926763e-11	7.15770311395635e-09
ENSG00000185033	1.14802730801513	8.35851109641367	459.845267274083	2.40891501639691e-11	7.21163028830354e-09
ENSG00000085831	2.71662673022433	3.05858026470752	452.197621329136	2.67452825064742e-11	7.79930979930776e-09
ENSG00000018236	1.67042880219417	7.65794648442881	450.320839739443	2.74167545439462e-11	7.79930979930776e-09
ENSG00000204866	2.07577107998479	3.81432678251543	449.888089009249	2.75846691880154e-11	7.79930979930776e-09
ENSG00000111331	-1.43183579135349	7.33516496152687	443.797840127142	3.00036612229259e-11	8.08211497397131e-09
