predictor_set	combination_size	genes_per_predictor	intersection_gene_count	union_gene_count	jaccard_index	overlap_coefficient	mean_mirnas_per_scored_gene_by_predictor	mean_mirnas_per_scored_gene_range
TargetScan v8	1	TargetScan v8=13044	13044	13044	1.0	1.0	TargetScan v8=4.62	4.62
miRDB	1	miRDB=13356	13356	13356	1.0	1.0	miRDB=5.76	5.76
microT-CNN	1	microT-CNN=19374	19374	19374	1.0	1.0	microT-CNN=22.21	22.21
miRBind2-3UTR	1	miRBind2-3UTR=18633	18633	18633	1.0	1.0	miRBind2-3UTR=24.95	24.95
miRAW	1	miRAW=18312	18312	18312	1.0	1.0	miRAW=24.26	24.26
TargetScan v8;miRDB	2	TargetScan v8=13044;miRDB=13356	11520	14880	0.7741935483870968	0.8831646734130635	TargetScan v8=4.62;miRDB=5.76	4.62-5.76
TargetScan v8;microT-CNN	2	TargetScan v8=13044;microT-CNN=19374	13044	19374	0.6732734592753175	1.0	TargetScan v8=4.62;microT-CNN=22.21	4.62-22.21
TargetScan v8;miRBind2-3UTR	2	TargetScan v8=13044;miRBind2-3UTR=18633	12962	18715	0.6925995191023243	0.9937135847899418	TargetScan v8=4.62;miRBind2-3UTR=24.95	4.62-24.95
TargetScan v8;miRAW	2	TargetScan v8=13044;miRAW=18312	12722	18634	0.682730492647848	0.975314320760503	TargetScan v8=4.62;miRAW=24.26	4.62-24.26
miRDB;microT-CNN	2	miRDB=13356;microT-CNN=19374	13356	19374	0.6893775162589036	1.0	miRDB=5.76;microT-CNN=22.21	5.76-22.21
miRDB;miRBind2-3UTR	2	miRDB=13356;miRBind2-3UTR=18633	13310	18679	0.7125649124685476	0.9965558550464211	miRDB=5.76;miRBind2-3UTR=24.95	5.76-24.95
miRDB;miRAW	2	miRDB=13356;miRAW=18312	13055	18613	0.7013915005641218	0.9774633123689728	miRDB=5.76;miRAW=24.26	5.76-24.26
microT-CNN;miRBind2-3UTR	2	microT-CNN=19374;miRBind2-3UTR=18633	18565	19442	0.9548914720707746	0.9963505608329308	microT-CNN=22.21;miRBind2-3UTR=24.95	22.21-24.95
microT-CNN;miRAW	2	microT-CNN=19374;miRAW=18312	18254	19432	0.9393783449979416	0.9968326780253386	microT-CNN=22.21;miRAW=24.26	22.21-24.26
miRBind2-3UTR;miRAW	2	miRBind2-3UTR=18633;miRAW=18312	18109	18836	0.961403695052028	0.988914373088685	miRBind2-3UTR=24.95;miRAW=24.26	24.26-24.95
TargetScan v8;miRDB;microT-CNN	3	TargetScan v8=13044;miRDB=13356;microT-CNN=19374	11520	19374	0.5946113347785692	0.8831646734130635	TargetScan v8=4.62;miRDB=5.76;microT-CNN=22.21	4.62-22.21
TargetScan v8;miRDB;miRBind2-3UTR	3	TargetScan v8=13044;miRDB=13356;miRBind2-3UTR=18633	11485	18726	0.6133183808608352	0.8804814474087703	TargetScan v8=4.62;miRDB=5.76;miRBind2-3UTR=24.95	4.62-24.95
TargetScan v8;miRDB;miRAW	3	TargetScan v8=13044;miRDB=13356;miRAW=18312	11262	18677	0.6029876318466563	0.8633854645814167	TargetScan v8=4.62;miRDB=5.76;miRAW=24.26	4.62-24.26
TargetScan v8;microT-CNN;miRBind2-3UTR	3	TargetScan v8=13044;microT-CNN=19374;miRBind2-3UTR=18633	12962	19442	0.6667009566916984	0.9937135847899418	TargetScan v8=4.62;microT-CNN=22.21;miRBind2-3UTR=24.95	4.62-24.95
TargetScan v8;microT-CNN;miRAW	3	TargetScan v8=13044;microT-CNN=19374;miRAW=18312	12722	19432	0.6546932894195142	0.975314320760503	TargetScan v8=4.62;microT-CNN=22.21;miRAW=24.26	4.62-24.26
TargetScan v8;miRBind2-3UTR;miRAW	3	TargetScan v8=13044;miRBind2-3UTR=18633;miRAW=18312	12672	18868	0.6716133135467458	0.9714811407543699	TargetScan v8=4.62;miRBind2-3UTR=24.95;miRAW=24.26	4.62-24.95
miRDB;microT-CNN;miRBind2-3UTR	3	miRDB=13356;microT-CNN=19374;miRBind2-3UTR=18633	13310	19442	0.6846003497582553	0.9965558550464211	miRDB=5.76;microT-CNN=22.21;miRBind2-3UTR=24.95	5.76-24.95
miRDB;microT-CNN;miRAW	3	miRDB=13356;microT-CNN=19374;miRAW=18312	13055	19432	0.6718299711815562	0.9774633123689728	miRDB=5.76;microT-CNN=22.21;miRAW=24.26	5.76-24.26
miRDB;miRBind2-3UTR;miRAW	3	miRDB=13356;miRBind2-3UTR=18633;miRAW=18312	13012	18839	0.6906948351823345	0.9742437855645403	miRDB=5.76;miRBind2-3UTR=24.95;miRAW=24.26	5.76-24.95
microT-CNN;miRBind2-3UTR;miRAW	3	microT-CNN=19374;miRBind2-3UTR=18633;miRAW=18312	18057	19448	0.928475935828877	0.9860747051114024	microT-CNN=22.21;miRBind2-3UTR=24.95;miRAW=24.26	22.21-24.95
TargetScan v8;miRDB;microT-CNN;miRBind2-3UTR	4	TargetScan v8=13044;miRDB=13356;microT-CNN=19374;miRBind2-3UTR=18633	11485	19442	0.5907314062339265	0.8804814474087703	TargetScan v8=4.62;miRDB=5.76;microT-CNN=22.21;miRBind2-3UTR=24.95	4.62-24.95
TargetScan v8;miRDB;microT-CNN;miRAW	4	TargetScan v8=13044;miRDB=13356;microT-CNN=19374;miRAW=18312	11262	19432	0.5795594895018527	0.8633854645814167	TargetScan v8=4.62;miRDB=5.76;microT-CNN=22.21;miRAW=24.26	4.62-24.26
TargetScan v8;miRDB;miRBind2-3UTR;miRAW	4	TargetScan v8=13044;miRDB=13356;miRBind2-3UTR=18633;miRAW=18312	11230	18868	0.595187619249523	0.8609322293774916	TargetScan v8=4.62;miRDB=5.76;miRBind2-3UTR=24.95;miRAW=24.26	4.62-24.95
TargetScan v8;microT-CNN;miRBind2-3UTR;miRAW	4	TargetScan v8=13044;microT-CNN=19374;miRBind2-3UTR=18633;miRAW=18312	12672	19448	0.6515837104072398	0.9714811407543699	TargetScan v8=4.62;microT-CNN=22.21;miRBind2-3UTR=24.95;miRAW=24.26	4.62-24.95
miRDB;microT-CNN;miRBind2-3UTR;miRAW	4	miRDB=13356;microT-CNN=19374;miRBind2-3UTR=18633;miRAW=18312	13012	19448	0.6690662278897573	0.9742437855645403	miRDB=5.76;microT-CNN=22.21;miRBind2-3UTR=24.95;miRAW=24.26	5.76-24.95
TargetScan v8;miRDB;microT-CNN;miRBind2-3UTR;miRAW	5	TargetScan v8=13044;miRDB=13356;microT-CNN=19374;miRBind2-3UTR=18633;miRAW=18312	11230	19448	0.5774372686137392	0.8609322293774916	TargetScan v8=4.62;miRDB=5.76;microT-CNN=22.21;miRBind2-3UTR=24.95;miRAW=24.26	4.62-24.95
